"","Otu000153","Otu000653","Otu000813","Otu000226","Otu000645","Otu000460","Otu000620","Otu000397","Otu000115","Otu000400","Otu001119","Otu000359","Otu000315","Otu000485","Otu000169","Otu000334","Otu000186","Otu000121","Otu001568","Otu000211","Otu000413","Otu000374","Otu000124","Otu000393","Otu000358","Otu000013","Otu001109","Otu000284","Otu000095","Otu000060","Otu000108","Otu000306","Otu000375","Otu000079","Otu000046","Otu000713","Otu000038","Otu000294","Otu000684","Otu000084","Otu001914","Otu000331","Otu001212","Otu000042","Otu000454","Otu000283","Otu001205","Otu000117","Otu000984","Otu000165","Otu000183","Otu000012","Otu000242","Otu001485","Otu000507","Otu000394","Otu000391","Otu000639","Otu000035","Otu000201","Otu000378","Otu000402","Otu001169","Otu001023","Otu001162","Otu001004","Otu000071","Otu000717","Otu000589","Otu000800","Otu000103","Otu001098","Otu000588","Otu001204","Otu000288","Otu001209","Otu000846","Otu000099","Otu001438","Otu000853","Otu000785","Otu000349","Otu000640","Otu000100","Otu000175","Otu000185","Otu005596","Otu000790","Otu000252","Otu001350","Otu000385","Otu000407","Otu002730","Otu000303","Otu000821","Otu000632","Otu000039","Otu000150","Otu000179","Otu000952"
"1",0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,26,0,0,1,2,6,2,0,439,0,0,1,10,0,0,6,117,22,0,0,0,0,2,0,1,1,2,0,1,1,1,0,4,0,236,0,0,3,4,0,0,265,0,0,0,0,0,0,0,36,1,0,0,0,0,1,0,1,0,0,15,0,1,0,0,0,25,8,0,0,0,0,0,8,0,0,0,0,2,14,0,3,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,0,123,0,3,38,0,0,74,0,6,0,8,6,0,0,3,433,0,0,0,0,75,0,0,0,10,0,0,0,0,0,13,200,74,0,0,0,0,0,0,0,0,0,0,0,7,0,0,27,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,1,0,10,0,0,0,0,0,185,0,0,0
"3",2,1,0,0,0,0,0,0,0,0,0,0,3,7,0,14,31,28,0,0,0,2,3,3,2,5,0,7,11,79,0,0,0,7,71,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,13,0,0,0,0,0,52,0,184,0,0,7,0,27,1,0,0,0,0,0,4,3,0
"4",0,0,0,2,0,0,0,0,84,2,0,0,0,0,1,1,4,0,0,175,20,0,3,0,0,28,0,0,27,172,9,0,0,13,26,0,1,0,0,1,0,0,0,9,0,0,0,0,0,1,39,106,0,0,1,0,0,0,153,0,93,1,1,0,0,0,7,0,11,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,21,0,0,0,0,0,2,0,0,0,0,6,97,86,0,0
"5",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,1,0,0,28,0,0,262,0,0,5,0,20,0,0,0,0,0,87,0,0,2,0,0,0,109,0,0,0,11,0,7,0,8,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,172,0,0,3,0,13,0,0,0,0,0,129,0,6,0
"6",0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,32,3,12,399,0,0,0,6,1,0,0,68,12,0,0,0,0,16,0,14,0,18,0,0,0,0,0,1,0,159,0,0,0,0,0,0,139,0,0,1,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,10,0,0,0,0,0,31,0,0,1,0,0,50,12,1,0
"7",76,0,4,0,0,0,0,0,461,1,0,0,0,0,0,0,0,0,0,57,0,0,59,3,0,248,0,0,1,6,0,1,26,0,0,0,1,7,0,0,0,0,0,19,0,1,0,0,0,0,0,61,0,0,0,0,0,0,46,0,5,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,6,5,0,0
"8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,24,0,0,0,0,13,0,0,232,0,0,0,187,0,0,0,220,37,0,0,0,0,2,0,0,0,41,0,0,0,11,0,1,0,165,2,0,0,0,0,0,258,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27,0,0,0,0,0,1,0,0,0,0,0,34,0,1,0
"9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,4,0,3,113,0,30,0,68,0,2,0,0,0,3,36,0,0,0,0,0,4,0,0,1,0,5,0,6,0,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,1,1,0,0,0,0,25,0,0,0,0,0,16,1,0,0,0,0,0,0,0,3,0,0,0,72,145,7,0
"10",0,0,0,0,0,1,0,0,132,0,0,0,1,0,0,0,1,29,0,0,0,0,45,0,0,61,0,4,6,6,4,0,1,1,56,0,39,0,1,0,0,0,0,13,0,0,0,0,0,0,3,298,0,6,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,9,0,0,76,0,0,0,0,0,0,0,5,9,0,1
