"","Cluster Number"
"c__Gammaproteobacteria",1
"f__Enterobacteriaceae",1
"o__Enterobacteriales",1
"f__Prevotellaceae",0
"f__Paraprevotellaceae",0
"f__Myxococcales.0319.6G20",2
"s__Myxococcales.sp",2
"c__Lentisphaeria",3
"o__Victivallales",3
"p__Lentisphaerae",3
"g__Streptococcus",4
"c__Coriobacteriia",5
"o__Coriobacteriales",5
"f__Coriobacteriaceae",5
"g__Paraprevotella",6
"g__Paraprevotella.1",6
"g__Blautia",0
"g__Erysipelotrichaceae.cc_115",7
"s__Erysipelotrichaceae.cc_115.sp",7
"s__symbiosum.",0
"s__Desulfovibrionaceae.sp",8
"g__Desulfovibrionaceae.unidentified",8
"f__Brevibacteriaceae",4
"s__Brevibacterium.sp",4
"s__ramosum.",0
"s__Sphingomonas.sp",9
"s__Tepidimonas.sp",10
"f__Microbacteriaceae",0
"g__Tepidimonas",10
"s__hathewayi.",0
"g__Staphylococcus",0
"s__adolescentis.",0
"g__Rothia",11
"s__citroniae.",0
"s__mucilaginosa.",11
"s__distasonis.",0
"g__Actinomyces",9
"s__Actinomyces",9
"s__stutzeri.",0
"o__Alteromonadales",0
"g__Shewanella",12
"f__Shewanellaceae",12
"c__Bacilli",4
"s__Roseburia.sp",9
"s__Parvimonas.sp",13
"g__Parvimonas",13
"s__fragilis.",0
