"","OTU_network"
"c__Gammaproteobacteria","Gammaproteobacteria"
"f__Enterobacteriaceae","Enterobacteriaceae"
"o__Enterobacteriales","Enterobacteriales"
"f__Prevotellaceae","Prevotellaceae"
"f__Paraprevotellaceae","Paraprevotellaceae"
"f__Myxococcales.0319.6G20","Myxococcales"
"s__Myxococcales.sp","Myxococcales"
"c__Lentisphaeria","Lentisphaeria"
"o__Victivallales","Victivallales"
"p__Lentisphaerae","Lentisphaerae"
"g__Streptococcus","Streptococcus"
"c__Coriobacteriia","Coriobacteriia"
"o__Coriobacteriales","Coriobacteriales"
"f__Coriobacteriaceae","Coriobacteriaceae"
"g__Paraprevotella","Paraprevotella"
"g__Paraprevotella.1","Paraprevotella"
"g__Blautia","Blautia"
"g__Erysipelotrichaceae.cc_115","Erysipelotrichaceae"
"s__Erysipelotrichaceae.cc_115.sp","Erysipelotrichaceae"
"s__symbiosum.","symbiosum"
"s__Desulfovibrionaceae.sp","Desulfovibrionaceae"
"g__Desulfovibrionaceae.unidentified","Desulfovibrionaceae.unidentified"
"f__Brevibacteriaceae","Brevibacteriaceae"
"s__Brevibacterium.sp","Brevibacterium"
"s__ramosum.","ramosum"
"s__Sphingomonas.sp","Sphingomonas"
"s__Tepidimonas.sp","Tepidimonas"
"f__Microbacteriaceae","Microbacteriaceae"
"g__Tepidimonas","Tepidimonas"
"s__hathewayi.","hathewayi"
"g__Staphylococcus","Staphylococcus"
"s__adolescentis.","adolescentis"
"g__Rothia","Rothia"
"s__citroniae.","citroniae"
"s__mucilaginosa.","mucilaginosa"
"s__distasonis.","distasonis"
"g__Actinomyces","Actinomyces"
"s__Actinomyces","Actinomyces"
"s__stutzeri.","stutzeri"
"o__Alteromonadales","Alteromonadales"
"g__Shewanella","Shewanella"
"f__Shewanellaceae","Shewanellaceae"
"c__Bacilli","Bacilli"
"s__Roseburia.sp","Roseburia"
"s__Parvimonas.sp","Parvimonas"
"g__Parvimonas","Parvimonas"
"s__fragilis.","fragilis"
