"","f__Prevotellaceae","f__Paraprevotellaceae","g__Blautia","s__symbiosum.","s__ramosum.","f__Microbacteriaceae","s__hathewayi.","g__Staphylococcus","s__adolescentis.","s__citroniae.","s__distasonis.","s__stutzeri.","o__Alteromonadales","s__fragilis.","c__Gammaproteobacteria~f__Enterobacteriaceae~o__Enterobacteriales","f__Myxococcales.0319.6G20~s__Myxococcales.sp","c__Lentisphaeria~o__Victivallales~p__Lentisphaerae","g__Streptococcus~f__Brevibacteriaceae~s__Brevibacterium.sp~c__Bacilli","c__Coriobacteriia~o__Coriobacteriales~f__Coriobacteriaceae","g__Paraprevotella~g__Paraprevotella.1","g__Erysipelotrichaceae.cc_115~s__Erysipelotrichaceae.cc_115.sp","s__Desulfovibrionaceae.sp~g__Desulfovibrionaceae.unidentified","s__Sphingomonas.sp~g__Actinomyces~s__Actinomyces~s__Roseburia.sp","s__Tepidimonas.sp~g__Tepidimonas","g__Rothia~s__mucilaginosa.","g__Shewanella~f__Shewanellaceae","s__Parvimonas.sp~g__Parvimonas"
"1",22,29,113,134,169,190,204,217,218,232,246,267,274,323,-24.2897050975093,-64.5303973528837,98.726896031426,-361.597008347018,147.224318643355,144.956890143242,174.655374953077,204.353859762912,497.147478152237,-277.185858225127,328.097546470558,402.343758495145,441.941738241592
"2",24,29,113,134,169,193,204,211,218,232,246,267,275,323,-24.2897050975093,-58.884649384192,98.726896031426,-358.561638945763,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"3",22,29,113,134,170,190,204,212,218,235,246,267,274,329,-13.8975206911545,-57.4732123920191,98.726896031426,-358.561638945763,147.224318643355,153.442171517481,174.655374953077,204.353859762912,496.058480079004,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"4",22,29,113,134,169,190,207,214,220,238,246,267,274,323,-13.8975206911545,-56.0617753998461,98.726896031426,-359.676665432103,147.224318643355,144.956890143242,174.655374953077,204.353859762912,498.236476225469,-271.529003975634,328.097546470558,402.343758495145,450.427019615831
"5",22,29,116,134,171,192,207,212,219,235,246,267,274,328,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"6",28,30,113,134,169,191,204,213,218,232,246,268,276,323,-19.0936128943319,-56.0617753998461,109.119200876839,-359.676665432103,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,335.168614282424,402.343758495145,441.941738241592
"7",22,29,113,140,169,190,208,211,218,235,246,267,274,323,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,147.224318643355,144.956890143242,176.06958851545,204.353859762912,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"8",22,29,118,139,169,190,205,211,220,233,246,267,274,323,-13.8975206911545,-57.4732123920191,98.726896031426,-357.921524640792,150.688420258492,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"9",22,35,115,134,169,190,204,211,219,233,246,267,274,323,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"10",22,29,114,134,175,190,204,211,218,233,246,267,274,323,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,148.956369450923,144.956890143242,174.655374953077,205.768073325285,495.420614801215,-268.700576850888,329.511760032931,402.343758495145,441.941738241592
"11",25,29,114,134,173,190,204,211,219,233,247,267,274,323,-13.8975206911545,-56.0617753998461,100.458946838995,-357.921524640792,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,330.925973595304,402.343758495145,441.941738241592
"12",22,29,113,134,169,192,204,211,218,238,252,267,274,323,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-271.529003975634,328.097546470558,402.343758495145,441.941738241592
"13",26,29,114,134,169,190,210,211,223,232,246,267,274,323,-13.8975206911545,-56.0617753998461,107.38715006927,-359.036551127131,150.688420258492,146.371103705615,174.655374953077,204.353859762912,496.058480079004,-268.700576850888,329.511760032931,402.343758495145,441.941738241592
"14",26,29,115,134,169,190,204,211,218,232,247,267,274,323,-15.629551425547,-56.0617753998461,98.726896031426,-357.921524640792,148.956369450923,144.956890143242,174.655374953077,205.768073325285,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"15",23,29,114,134,169,190,204,212,219,232,246,267,274,323,-15.629551425547,-56.0617753998461,98.726896031426,-359.036551127131,147.224318643355,146.371103705615,174.655374953077,205.768073325285,496.058480079004,-268.700576850888,329.511760032931,402.343758495145,441.941738241592
"16",22,29,116,135,169,190,204,211,220,233,246,267,280,324,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,148.956369450923,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,329.511760032931,402.343758495145,441.941738241592
"17",22,29,114,136,170,196,204,214,218,232,246,268,279,324,-13.8975206911545,-56.0617753998461,98.726896031426,-360.791691918442,147.224318643355,144.956890143242,174.655374953077,204.353859762912,496.058480079004,-270.114790413261,335.168614282424,410.829039869384,441.941738241592
"18",22,29,115,134,170,191,204,213,222,233,246,267,276,323,-14.4709333344268,-56.0617753998461,98.726896031426,-361.384792117239,147.224318643355,144.956890143242,174.655374953077,204.353859762912,506.91706399048,-271.529003975634,328.097546470558,402.343758495145,441.941738241592
"19",22,29,114,134,170,190,204,211,219,232,246,267,274,324,-13.8975206911545,-56.0617753998461,98.726896031426,-359.036551127131,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
"20",22,29,114,135,171,190,205,211,219,232,246,267,275,324,-13.8975206911545,-56.0617753998461,98.726896031426,-357.921524640792,147.224318643355,144.956890143242,174.655374953077,204.353859762912,494.969482005772,-270.114790413261,329.511760032931,406.586399182265,441.941738241592
"21",22,29,113,135,169,191,204,215,218,232,246,267,277,324,-20.8256436287244,-59.0618003607722,98.726896031426,-361.384792117239,147.224318643355,144.956890143242,174.655374953077,204.353859762912,498.049743743122,-274.35743110038,336.582827844797,410.829039869384,441.941738241592
"22",22,29,114,134,169,190,204,211,224,233,246,267,274,323,-15.629551425547,-56.0617753998461,98.726896031426,-362.712034833357,147.224318643355,144.956890143242,174.655374953077,204.353859762912,496.058480079004,-268.700576850888,329.511760032931,402.343758495145,441.941738241592
"23",22,29,114,134,169,190,205,214,224,237,247,273,276,325,-13.8975206911545,-56.0617753998461,98.726896031426,-359.676665432103,147.224318643355,144.956890143242,174.655374953077,204.353859762912,498.049743743122,-270.114790413261,333.75440072005,402.343758495145,441.941738241592
"24",22,29,119,135,169,190,204,211,218,233,246,267,274,323,-13.8975206911545,-58.884649384192,98.726896031426,-359.511463308498,147.224318643355,147.785317267988,174.655374953077,204.353859762912,495.420614801215,-268.700576850888,328.097546470558,402.343758495145,441.941738241592
