"","Node","Microbe Names","Node Size","Cluster_Parameters"
"1","1","Lachnospiraceae","232","0.742725459505873"
"2","2","Blautia","402","0.0255043101943865"
"3","3","Collinsella","34","0.990990079098124"
"4","4","Erysipelotrichaceae","8","1.76414610388618"
"5","5","Ruminococcaceae","10","0.6698558007648"
"6","6","Bacteroides","8","0.414848249747943"
"7","7","Odoribacter","1","0.872767671200452"
"8","8","Coprococcus","1","0.806872497540649"
"9","9","Pasteurellaceae","1","0.00897887094218416"
"10","10","Clostridium_XlV","1","1.0477181016726"
"11","11","Bilophila","1","0.789283288521884"
"12","12","Catenibacteriu","1","0.0442949804084991"
