"","x"
"1","1.49742"
"2","-0.27465"
"3","-1.05620"
"4","-0.04582"
"5","0.32148"
"6","-0.22312"
"7","0.06005"
"8","0.47973"
"9","-0.23262"
"10","-0.29341"
"11","-2.03517"
"12","0.04861"
"13","0.08773"
"14","-0.23019"
"15","0.67004"
"16","0.03467"
"17","-1.60661"
"18","1.09438"
"19","-0.15630"
"20","0.00050"
"21","-1.08626"
"22","-0.02929"
"23","-0.03881"
"24","-0.00309"
"25","-0.00333"
"26","-1.02801"
"27","0.49105"
"28","0.38327"
"29","-0.64080"
"30","-1.35752"
"31","0.57699"
"32","0.25012"
"33","-0.03879"
"34","-0.66886"
"35","0.30206"
"36","0.07600"
"37","-0.00674"
"38","-0.14256"
"39","-0.02715"
"40","-0.29829"
"41","0.82178"
"42","0.48963"
"43","-0.68844"
"44","0.70364"
"45","0.88502"
"46","0.81792"
"47","0.20626"
"48","-0.09502"
"49","0.13205"
"50","-0.04317"
"51","-0.03803"
"52","-0.00600"
"53","0.06046"
"54","0.00132"
"55","-0.26964"
"56","0.79938"
"57","-1.64062"
"58","-1.06192"
"59","0.22967"
"60","-0.39168"
"61","1.30783"
"62","0.00082"
"63","0.03906"
"64","1.73956"
"65","-0.24229"
"66","0.09774"
"67","-0.66725"
"68","-0.06167"
"69","-0.27292"
"70","0.07709"
"71","-0.01076"
"72","-0.07075"
"73","-0.12078"
"74","-0.04579"
"75","-0.17829"
"76","-0.20445"
"77","0.57360"
"78","-0.07109"
"79","0.96036"
"80","0.34790"
"81","-1.34867"
"82","-0.06780"
"83","1.25628"
"84","-1.47233"
"85","-0.13914"
"86","0.53413"
"87","-0.06659"
"88","0.00351"
"89","0.01698"
"90","-0.00048"
"91","0.04183"
"92","0.66001"
"93","-1.51871"
"94","0.04612"
"95","-1.45145"
"96","0.71692"
"97","-0.96165"
"98","-0.71208"
