"","x"
"Otu000153","3.05"
"Otu000653","0.71"
"Otu000813","1.94"
"Otu000460","0.49"
"Otu000620","1.26"
"Otu000397","0.64"
"Otu000115","0.63"
"Otu000400","1.05"
"Otu001119","0.92"
"Otu000359","1.40"
"Otu000315","2.90"
"Otu000485","0.45"
"Otu000169","0.64"
"Otu000334","0.90"
"Otu000186","1.42"
"Otu000121","0.34"
"Otu001568","3.70"
"Otu000211","2.55"
"Otu000413","0.74"
"Otu000374","0.07"
"Otu000124","1.79"
"Otu000393","0.67"
"Otu000358","0.39"
"Otu000013","0.23"
"Otu001109","0.28"
"Otu000284","1.89"
"Otu000095","1.13"
"Otu000060","1.11"
"Otu000108","1.75"
"Otu000306","1.88"
"Otu000375","1.28"
"Otu000079","0.88"
"Otu000046","0.39"
"Otu000713","1.43"
"Otu000038","0.87"
"Otu000294","0.54"
"Otu000684","0.14"
"Otu000084","0.60"
"Otu001914","0.21"
"Otu000331","0.87"
"Otu001212","1.52"
"Otu000042","1.19"
"Otu000454","1.29"
"Otu000283","1.21"
"Otu001205","1.38"
"Otu000117","1.53"
"Otu000984","0.73"
"Otu000165","0.52"
"Otu000183","0.76"
"Otu000012","0.53"
"Otu000242","0.69"
"Otu001485","0.29"
"Otu000507","0.48"
"Otu000394","0.10"
"Otu000391","0.98"
"Otu000639","1.45"
"Otu000035","2.32"
"Otu000201","1.65"
"Otu000378","0.90"
"Otu000402","1.10"
"Otu001169","2.04"
"Otu001023","0.13"
"Otu001162","0.44"
"Otu001004","3.10"
"Otu000071","0.99"
"Otu000717","0.63"
"Otu000589","1.36"
"Otu000800","0.57"
"Otu000103","0.97"
"Otu001098","0.48"
"Otu000588","0.30"
"Otu000288","0.43"
"Otu001209","0.66"
"Otu000846","0.52"
"Otu000099","0.85"
"Otu001438","0.82"
"Otu000853","1.47"
"Otu000785","0.53"
"Otu000349","1.75"
"Otu000640","0.84"
"Otu000100","2.03"
"Otu000175","0.67"
"Otu000185","2.18"
"Otu005596","1.74"
"Otu000790","0.67"
"Otu000252","1.49"
"Otu001350","0.53"
"Otu000385","0.28"
"Otu000407","0.25"
"Otu002730","0.15"
"Otu000303","0.36"
"Otu000821","1.55"
"Otu000632","2.16"
"Otu000039","0.33"
"Otu000150","2.23"
"Otu000179","1.33"
"Otu000952","1.61"
"Otu000226~Otu000645~Otu001204","1.40"
