"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"1","Abscesses (increase)","Propionibacterium avidum VPI 0179","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.830.025; C23.550.470.756.10",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"2","Acne","Propionibacterium acnes SK137;  Propionibacterium acnes SK187; Propionibacterium acnes SK182B-JCVI;  Propionibacterium acnes SK182; Propionibacterium acnes J139; Propionibacterium acnes J165; Propionibacterium acnes HL096PA3; Propionibacterium acnes HL096PA2; Propionibacterium acnes HL103PA1; Propionibacterium acnes HL099PA1;  Propionibacterium acnes HL097PA1;  Propionibacterium acnes JCVI192","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C17.800.030.150; C17.800.794.11","604324","Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"3","Actinomycosis","Actinomycesaevenitzii C83; Actinomyces viscosus C505; Actinomyces viscosus C505","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.252.410.040.137",NA,"Whole Genome Sequencing","Increase","1","https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Gut (faecal)"
"4","Age","Methanobrevibacter smithii; Methanobrevibacter unclassified; Bifidobacterium adolescentis; Bifidobacterium bifidum; Bifidobacterium dentium; Bifidobacterium longum; Gordonibacter pamelaeae; Olsenella unclassified; Bacteroidesccae; Bacteroides dorei;  Bacteroides eggerthii; Bacteroides intestinalis;  Bacteroides ovatus; Bacteroides vulgatus; Parabacteroides goldsteinii;  Alistipes finegoldii;  Alistipes unclassified; Leuconostoc mesenteroides; Streptococcus mutans; Clostridium L2 50; Eubacterium eligens; Eubacterium rectale; Eubacterium siraeum; Blautia obeum; Butyrivibrio crossotus; Coprococcus catus; Coprococcus comes; Roseburia hominis; Peptostreptococcaceae noname unclassified; Anaerotruncus unclassified; Ruminococcus lactaris; Subdoligranulum unclassified; Eubacterium cylindroides; Turicibacter sanguinis; Turicibacter unclassified; Phascolarctobacterium cinatutens; Veillonella parvula; Dialister invisus; Sutterella wadsworthensis; Bilophila unclassified; Desulfovibrio piger; Akkermansia muciniphila; Bacteroides cellulosilyticus; Bacteroidales bacterium ph8; Barnesiella intestinihominis; Alistipes finegoldii; Odoribacter splanchnicus; Alistipes senegalensis; Anaerotruncus unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"5","Age adjusted","Turicibacter sanguinis; Turicibacter unclassified; Butyrivibrio crossotus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"6","Aging (Old vs young, decrease)","Propionibacterium; Staphylococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28874721'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Genus",NA,NA,NA,NA,"16S rRNA - V1-V2 region, Roche 454","Decrease","1","Figure 3","Homo Sapiens",37,"21-76","Skin"
"7","Aging (Old vs young, increase)","Corynebacterium; Acinetobacter","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28874721'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Genus",NA,NA,NA,NA,"16S rRNA - V1-V2 region, Roche 454","Increase","1","Figure 3","Homo Sapiens",37,"21-76","Skin"
"8","Alcoholism (decrease)","Bacteroides; Eubacterium; Anaerostipes","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27295340'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C25.775.100.250; F03.900.100.350","103780","16S rRNA - V1-V2 regions, Roche 454 FLX","Decrease","1","Figure 2A","Homo Sapiens",64,"34-71","Gut (faecal)"
"9","Alcoholism (increase)","Coprobacillus; Streptococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27295340'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C25.775.100.250; F03.900.100.350","103780","16S rRNA - V1-V2 regions, Roche 454 FLX","Increase","1","Figure 2A","Homo Sapiens",64,"34-71","Gut (faecal)"
"10","Allergicnsitization","Clostridium difficile","<a href='https://www.ncbi.nlm.nih.gov/pubmed/17047098'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C17.800.174.255.100; C17.800.815.255.100; C20.543.418.150",NA,"DNA - Real-Time PCR","Increase","1","Table 3","Homo Sapiens",957,"1 month","Gut (faecal)"
