"","Otu000153","Otu000226","Otu000645","Otu000460","Otu000620","Otu000115","Otu000359","Otu000169","Otu000334","Otu000186","Otu000121","Otu000211","Otu000124","Otu000013","Otu000284","Otu000095","Otu000060","Otu000108","Otu000375","Otu000079","Otu000046","Otu000038","Otu000084","Otu000331","Otu000042","Otu000454","Otu000117","Otu000165","Otu000183","Otu000012","Otu000394","Otu000391","Otu000035","Otu000201","Otu000378","Otu001162","Otu000071","Otu000800","Otu000103","Otu000288","Otu000099","Otu000349","Otu000100","Otu000175","Otu000185","Otu000252","Otu000385","Otu000039","Otu000150","Otu000179"
"1",1,22,29,36,43,57,78,99,106,113,120,134,155,176,190,197,204,211,225,232,239,253,274,288,302,309,330,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"2",1,22,29,36,43,57,78,99,106,113,120,134,155,176,190,198,204,211,225,232,239,255,274,288,302,309,330,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"3",1,22,29,36,43,57,78,99,106,113,120,134,155,180,190,197,204,211,225,233,239,253,274,288,302,309,330,344,351,360,386,393,409,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"4",1,22,29,36,43,57,78,99,106,114,120,134,155,176,190,197,204,211,225,232,241,255,274,288,302,309,331,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"5",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,204,211,225,232,242,253,274,288,302,309,330,344,351,359,386,393,408,414,421,449,464,484,491,519,540,568,582,590,596,617,632,673,680,687
"6",1,22,29,36,43,57,78,99,106,113,120,134,155,182,190,197,204,211,225,232,239,254,274,288,302,309,330,344,351,359,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"7",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,198,207,211,225,232,239,253,274,288,302,309,330,344,351,358,386,393,407,414,421,449,465,484,491,519,540,568,582,589,596,617,631,674,680,687
"8",1,22,29,36,43,57,78,99,106,113,120,134,156,178,190,197,205,211,225,232,239,254,274,288,302,309,330,346,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,632,673,680,687
"9",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,204,211,225,233,239,253,274,288,302,309,330,344,352,359,386,393,410,414,421,449,464,484,491,519,540,568,582,589,596,617,631,673,680,687
"10",1,22,29,36,43,57,78,99,106,113,120,134,155,176,190,197,204,212,225,232,240,254,274,288,302,309,330,344,351,359,386,393,408,414,421,449,463,484,491,519,540,568,584,589,596,617,631,673,680,687
"11",1,22,29,36,43,57,78,99,106,113,120,134,157,182,190,197,207,211,225,232,240,253,274,288,302,309,330,344,351,360,386,393,411,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"12",1,22,29,36,43,57,78,99,106,113,120,134,155,178,190,197,204,211,225,232,239,254,274,288,303,309,330,344,351,359,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"13",1,22,29,36,43,57,78,99,106,113,120,134,155,178,190,197,205,211,225,232,239,253,274,288,302,309,330,344,351,359,386,393,409,414,421,449,463,484,491,519,540,568,583,589,596,617,631,673,680,687
"14",1,22,29,36,43,57,78,99,106,113,120,134,155,176,190,197,205,211,225,232,240,253,274,288,302,309,330,344,351,362,386,393,407,414,421,449,463,484,491,519,540,568,583,589,598,617,631,673,680,687
"15",1,22,29,36,43,57,78,99,106,113,120,134,155,179,190,197,204,211,225,232,239,254,275,288,302,309,330,344,351,360,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"16",1,22,29,36,43,57,78,100,106,113,120,134,155,176,190,197,204,211,225,232,240,253,274,288,303,309,330,344,351,360,386,393,407,414,421,449,463,484,491,519,540,568,583,589,598,617,631,676,680,687
"17",1,22,29,36,43,57,78,99,106,113,120,134,155,181,190,197,204,211,225,232,239,253,274,288,302,309,330,344,351,359,386,393,407,414,421,449,463,484,491,519,540,568,583,589,596,617,631,677,680,687
"18",1,22,29,36,43,58,78,99,106,113,120,134,156,179,190,197,206,211,225,232,239,253,274,288,302,309,330,344,352,359,386,393,408,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"19",1,22,29,36,43,57,78,99,106,113,120,134,155,179,190,197,204,211,225,232,239,253,274,288,302,309,330,344,351,359,386,393,408,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"20",1,22,29,36,43,57,78,99,106,113,120,134,156,176,190,197,204,211,225,232,240,253,274,288,302,309,330,344,352,358,386,393,409,414,421,449,463,484,491,519,542,568,582,589,596,617,631,673,680,687
"21",1,22,29,36,43,57,80,99,106,113,120,134,155,176,190,197,204,211,225,233,239,253,274,288,302,309,330,344,351,358,386,393,407,414,421,449,464,484,491,519,540,568,582,589,596,617,631,673,680,687
"22",1,22,29,36,43,57,78,99,106,113,121,134,155,178,190,197,204,212,225,232,239,254,274,288,302,309,330,344,352,361,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"23",1,22,29,36,43,57,78,99,106,113,120,139,155,178,191,197,204,211,225,232,239,253,274,288,302,309,330,344,352,363,386,393,408,414,421,449,463,484,491,519,540,568,582,589,597,617,631,673,680,687
"24",1,22,29,36,43,57,78,99,106,113,120,134,156,176,190,197,204,211,225,232,239,254,274,288,303,309,330,344,351,358,386,393,413,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"25",1,22,29,36,43,57,78,99,106,113,120,134,155,179,190,197,204,211,225,238,239,253,274,288,302,309,330,344,351,358,386,393,408,414,421,449,464,484,491,519,540,568,582,589,596,617,631,674,680,687
"26",1,22,29,36,43,58,78,99,106,113,120,134,155,177,190,197,204,211,225,232,240,254,274,288,303,309,330,344,351,359,386,393,407,414,421,449,463,484,491,519,540,568,583,589,597,617,631,673,680,687
"27",1,22,29,36,43,57,78,99,106,113,120,134,155,176,190,197,204,211,225,232,239,256,274,288,302,309,330,344,351,358,386,393,408,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"28",1,22,29,36,43,57,78,99,106,113,120,134,155,180,190,197,204,211,225,232,239,253,274,288,302,309,330,344,351,358,386,393,409,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"29",1,22,29,36,43,57,78,99,106,113,120,134,155,181,190,197,204,211,225,233,239,253,274,288,302,309,330,344,351,360,386,393,409,414,421,449,464,484,491,519,540,568,582,589,596,617,631,674,680,687
"30",1,22,29,36,43,57,78,99,106,113,121,135,155,178,190,197,204,211,225,232,240,253,274,288,303,309,330,344,351,360,386,393,411,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"31",1,22,29,36,43,57,78,99,106,113,120,134,155,176,190,199,204,211,225,232,239,258,274,288,303,309,330,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"32",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,204,211,225,234,239,253,274,288,302,309,330,344,351,359,386,393,407,414,421,449,465,484,491,519,540,568,582,589,596,617,631,673,680,687
"33",1,22,29,36,43,57,78,99,106,113,120,134,155,178,190,197,204,211,225,232,239,256,274,288,302,309,330,344,351,358,386,393,407,414,421,449,464,484,491,519,540,568,582,589,596,617,631,676,680,687
"34",1,22,29,36,43,59,78,99,106,113,120,134,155,178,190,197,204,211,225,232,239,253,274,288,302,309,330,344,351,360,386,393,407,414,421,449,464,484,491,519,540,568,582,589,596,617,631,673,680,687
"35",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,206,211,225,232,239,255,274,288,302,309,330,344,351,363,386,393,409,415,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"36",1,22,29,36,43,57,78,99,106,113,120,134,155,182,190,197,204,211,225,235,239,253,274,288,302,309,330,344,351,362,386,393,413,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"37",1,22,29,36,43,57,78,99,106,113,120,134,156,176,190,197,204,211,225,232,239,253,277,292,302,309,330,344,351,358,386,393,407,414,421,449,464,484,491,519,540,568,582,589,596,617,632,674,680,687
"38",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,204,211,225,232,240,253,274,288,302,309,330,344,351,360,386,393,407,414,421,449,464,484,491,519,540,568,582,589,596,617,631,673,680,687
"39",1,22,29,36,43,57,78,99,106,113,120,134,155,178,190,197,204,211,225,232,239,253,274,288,303,309,330,344,351,359,386,393,409,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,682,687
"40",1,22,29,36,43,57,78,99,106,113,120,134,155,178,190,197,206,211,225,232,245,253,274,288,302,309,330,344,351,359,386,393,408,415,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"41",1,22,29,36,43,57,78,99,106,113,120,138,155,177,190,197,204,211,225,232,239,253,274,288,302,309,330,344,351,360,386,393,408,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"42",1,22,29,36,43,57,78,99,106,113,121,134,155,179,190,197,206,211,225,232,239,253,274,288,302,309,330,344,351,359,386,393,407,414,421,449,463,484,491,519,541,568,582,589,597,617,631,673,680,687
"43",1,22,29,36,43,57,78,99,106,114,120,134,155,177,190,197,204,211,225,232,239,255,274,288,302,309,330,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"44",1,22,29,36,43,57,78,99,106,113,120,134,155,181,190,197,204,211,225,233,239,253,274,288,302,309,330,344,351,361,386,393,410,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"45",1,22,29,36,43,57,78,99,106,113,120,135,155,177,190,197,204,211,225,232,244,253,275,288,302,309,330,344,353,359,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,675,680,687
"46",1,22,29,36,43,57,78,99,106,113,120,134,155,179,190,197,204,211,225,232,239,254,274,288,303,309,330,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,583,589,598,617,631,675,680,687
"47",1,22,29,36,43,57,78,99,106,113,120,134,155,179,190,197,206,211,225,235,239,253,274,288,302,309,330,344,351,360,386,393,410,414,421,449,463,484,491,519,540,568,582,589,596,617,631,673,680,687
"48",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,205,211,225,232,239,253,274,288,302,309,330,344,351,358,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,682,687
"49",1,22,29,36,43,57,78,99,106,113,120,134,157,179,190,197,208,211,228,234,244,253,274,288,302,309,330,344,351,362,386,393,407,414,421,449,463,484,491,519,540,568,582,589,596,617,631,674,680,687
"50",1,22,29,36,43,57,78,99,106,113,120,134,155,177,190,197,204,211,225,235,239,253,274,288,302,309,330,344,351,359,386,393,408,414,421,449,464,484,491,519,540,568,582,590,596,617,631,673,680,687
"51",1,22,29,36,43,57,78,99,106,113,120,134,155,178,190,197,204,211,225,233,241,253,274,288,302,309,330,344,351,359,386,393,407,414,421,449,464,484,491,519,540,568,582,589,596,617,631,673,680,687
