"","x"
"1","Otu000653"
"2","Otu000813"
"3","Otu000397"
"4","Otu000400"
"5","Otu001119"
"6","Otu000315"
"7","Otu000485"
"8","Otu001568"
"9","Otu000413"
"10","Otu000374"
"11","Otu000393"
"12","Otu000358"
"13","Otu001109"
"14","Otu000306"
"15","Otu000713"
"16","Otu000294"
"17","Otu000684"
"18","Otu001914"
"19","Otu001212"
"20","Otu000283"
"21","Otu001205"
"22","Otu000984"
"23","Otu000242"
"24","Otu001485"
"25","Otu000507"
"26","Otu000639"
"27","Otu000402"
"28","Otu001169"
"29","Otu001023"
"30","Otu001004"
"31","Otu000717"
"32","Otu000589"
"33","Otu001098"
"34","Otu000588"
"35","Otu001204"
"36","Otu001209"
"37","Otu000846"
"38","Otu001438"
"39","Otu000853"
"40","Otu000785"
"41","Otu000640"
"42","Otu005596"
"43","Otu000790"
"44","Otu001350"
"45","Otu000407"
"46","Otu002730"
"47","Otu000303"
"48","Otu000821"
"49","Otu000632"
"50","Otu000952"
