"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Paraprevotella.1","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum.","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum.","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi.","g__Staphylococcus","s__adolescentis.","g__Rothia","s__citroniae.","s__mucilaginosa.","s__distasonis.","g__Actinomyces","s__Actinomyces","s__stutzeri.","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis."
"c__Gammaproteobacteria",1,0.998305303235255,0.998305303235255,0.124269815525433,-0.119132191508045,0.594807473211985,0.696354852654786,0.0038624283011934,0.0038624283011934,0.0038624283011934,0.0354569203021144,-0.152886643551087,-0.152886643551087,-0.152886643551087,-0.178496153527547,-0.178496153527547,-0.381666250294551,-0.157739021421933,-0.157739021421933,-0.140866224004604,-0.16799711727025,-0.16799711727025,0.0235232921544345,0.0235232921544345,-0.174929614508299,-0.0120073063925741,0.523760607876187,0.205771170689679,0.523760607876187,-0.199957752864885,0.449780086217364,-0.185353559782973,0.223400802369121,-0.262956551457494,0.232926647705381,-0.111188553959455,0.116132431647645,0.116132431647645,-0.0395165398446085,0.126226731625825,0.149133148547945,0.149133148547945,0.372870319274248,-0.0344439294372666,-0.0575608869203984,-0.0575608869203984,-0.150820335714535
"f__Enterobacteriaceae",0.998305303235255,1,1,0.126791256729312,-0.112408017071953,0.596924943352972,0.700153063836914,0.0041770749951863,0.0041770749951863,0.0041770749951863,-0.0157654125223867,-0.190116360631438,-0.190116360631438,-0.190116360631438,-0.167121516652095,-0.167121516652095,-0.370099890237866,-0.152548585956049,-0.152548585956049,-0.133036181135032,-0.158451250569903,-0.158451250569903,-0.0184862150217782,-0.0184862150217782,-0.16417719228555,-0.0114910829917487,0.527438707206946,0.200958649036736,0.527438707206946,-0.192744173425248,0.417387255790267,-0.203157837202143,0.212444984076287,-0.258130080752206,0.222683082002746,-0.107111005128011,0.113783711677011,0.113783711677011,-0.0584841215920311,0.118995608561782,0.143477650116102,0.143477650116102,0.32765639237738,-0.0345607562255623,-0.0511979381104845,-0.0511979381104845,-0.146638476867365
"o__Enterobacteriales",0.998305303235255,1,1,0.126791256729312,-0.112408017071953,0.596924943352972,0.700153063836914,0.0041770749951863,0.0041770749951863,0.0041770749951863,-0.0157654125223867,-0.190116360631438,-0.190116360631438,-0.190116360631438,-0.167121516652095,-0.167121516652095,-0.370099890237866,-0.152548585956049,-0.152548585956049,-0.133036181135032,-0.158451250569903,-0.158451250569903,-0.0184862150217782,-0.0184862150217782,-0.16417719228555,-0.0114910829917487,0.527438707206946,0.200958649036736,0.527438707206946,-0.192744173425248,0.417387255790267,-0.203157837202143,0.212444984076287,-0.258130080752206,0.222683082002746,-0.107111005128011,0.113783711677011,0.113783711677011,-0.0584841215920311,0.118995608561782,0.143477650116102,0.143477650116102,0.32765639237738,-0.0345607562255623,-0.0511979381104845,-0.0511979381104845,-0.146638476867365
"f__Prevotellaceae",0.124269815525433,0.126791256729312,0.126791256729312,1,0.158010508818671,-0.000329312627450228,-0.0451412053963614,0.571709463924089,0.571709463924089,0.571709463924089,-0.00547427515655927,0.0942637498127508,0.0942637498127508,0.0942637498127508,-0.0483883270989309,-0.0483883270989309,-0.186875808781224,-0.120086578134843,-0.120086578134843,-0.23398849912186,0.158887227333433,0.158887227333433,-0.0470400524421797,-0.0470400524421797,-0.0615800577697483,-0.136409368314088,-0.222377699741512,-0.0957910351213314,-0.222377699741512,0.0733413360282389,-0.13953115370174,-0.0740389965652522,0.121141178362825,-0.363921710001493,0.131745085386663,-0.0807523214921334,-0.231601790903646,-0.231601790903646,-0.0615437403390016,-0.0968300552772201,-0.208509424013929,-0.208509424013929,-0.126361232889131,-0.126368006093241,-0.111316918683985,-0.111316918683985,-0.244524026036561
"f__Paraprevotellaceae",-0.119132191508045,-0.112408017071953,-0.112408017071953,0.158010508818671,1,-0.0923334269617006,-0.0878376026026148,0.0358257848300132,0.0358257848300132,0.0358257848300132,-0.125609238628239,-0.115733741595477,-0.115733741595477,-0.115733741595477,0.0167045889427731,0.0167045889427731,-0.0723446862939242,-0.096521084770048,-0.096521084770048,-0.132734867016036,0.241738845127807,0.241738845127807,-0.0970557062722343,-0.0970557062722343,-0.142293731829699,-0.0877234978333886,0.00760990518499166,-0.147013729442983,0.00760990518499166,-0.150190467340972,-0.156701287933348,-0.124985771606387,-0.107536169565321,-0.128749686458311,-0.104991475126367,-0.0928498281322363,-0.13031764837795,-0.13031764837795,-0.0628177365626381,-0.129972352133875,-0.110294377165376,-0.110294377165376,-0.18351466899385,-0.113376618287934,-0.0607667026719416,-0.0607667026719416,-0.126652321826528
"f__Myxococcales.0319.6G20",0.594807473211985,0.596924943352972,0.596924943352972,-0.000329312627450228,-0.0923334269617006,1,0.867479635401143,-0.0579284798716721,-0.0579284798716721,-0.0579284798716721,-0.0459697816811543,-0.151860056312524,-0.151860056312524,-0.151860056312524,0.0524256619574201,0.0524256619574201,0.0559498139493341,-0.109025591968735,-0.109025591968735,-0.0797321591637693,-0.163391259483534,-0.163391259483534,-0.113134347881827,-0.113134347881827,-0.141632176098436,-0.121881063540016,0.468064001091649,-0.000216695403078011,0.468064001091649,-0.174856235424137,0.341783923008822,-0.243558535933301,-0.227924579652709,-0.158731283196386,-0.226285071157308,-0.116039509537273,0.0485933136259023,0.0485933136259023,-0.0860632761957814,-0.15195290731672,-0.125403797304579,-0.125403797304579,0.260670127356199,-0.10772888928593,-0.0782222335497464,-0.0782222335497464,-0.00868537309553107
"s__Myxococcales.sp",0.696354852654786,0.700153063836914,0.700153063836914,-0.0451412053963614,-0.0878376026026148,0.867479635401143,1,-0.0905583905002897,-0.0905583905002897,-0.0905583905002897,-0.0599083095116645,-0.186873002541395,-0.186873002541395,-0.186873002541395,0.0144310924238479,0.0144310924238479,-0.0457264545693113,-0.131899212612831,-0.131899212612831,-0.0497167612998173,-0.164131859034857,-0.164131859034857,-0.00872831333085599,-0.00872831333085599,-0.165308634626611,-0.0716662388972831,0.675031128265316,-0.00691943906618875,0.675031128265316,-0.188313507574534,0.440823745270773,-0.286238925559,0.0566460886347069,-0.199386865540594,0.0642606710953402,-0.134642557730124,0.107645031528012,0.107645031528012,-0.102913484955407,-0.034714443434831,0.197275930681769,0.197275930681769,0.285170689209144,-0.0407238087512554,-0.0902366300071732,-0.0902366300071732,0.00460470136342653
"c__Lentisphaeria",0.0038624283011934,0.0041770749951863,0.0041770749951863,0.571709463924089,0.0358257848300132,-0.0579284798716721,-0.0905583905002897,1,1,1,0.0922379987650052,0.0796202352963669,0.0796202352963669,0.0796202352963669,-0.020154649149184,-0.020154649149184,0.0160932058706142,0.356857006371443,0.356857006371443,-0.152774044938064,0.0208443200438653,0.0208443200438653,-0.122716591849878,-0.122716591849878,-0.158958352839442,-0.0835174408294891,-0.199395792614854,-0.148944562477049,-0.199395792614854,0.227648441296101,-0.139836979340184,0.0790478602899698,0.23577517248,-0.258164836196589,0.245882881886432,-0.115819275266603,-0.104734271963944,-0.104734271963944,-0.0206246333744759,-0.0491555713397018,-0.145183173081562,-0.145183173081562,-0.0419852060894916,-0.108874949908094,-0.0744051918436939,-0.0744051918436939,-0.163966232997342
"o__Victivallales",0.0038624283011934,0.0041770749951863,0.0041770749951863,0.571709463924089,0.0358257848300132,-0.0579284798716721,-0.0905583905002897,1,1,1,0.0922379987650052,0.0796202352963669,0.0796202352963669,0.0796202352963669,-0.020154649149184,-0.020154649149184,0.0160932058706142,0.356857006371443,0.356857006371443,-0.152774044938064,0.0208443200438653,0.0208443200438653,-0.122716591849878,-0.122716591849878,-0.158958352839442,-0.0835174408294891,-0.199395792614854,-0.148944562477049,-0.199395792614854,0.227648441296101,-0.139836979340184,0.0790478602899698,0.23577517248,-0.258164836196589,0.245882881886432,-0.115819275266603,-0.104734271963944,-0.104734271963944,-0.0206246333744759,-0.0491555713397018,-0.145183173081562,-0.145183173081562,-0.0419852060894916,-0.108874949908094,-0.0744051918436939,-0.0744051918436939,-0.163966232997342
"p__Lentisphaerae",0.0038624283011934,0.0041770749951863,0.0041770749951863,0.571709463924089,0.0358257848300132,-0.0579284798716721,-0.0905583905002897,1,1,1,0.0922379987650052,0.0796202352963669,0.0796202352963669,0.0796202352963669,-0.020154649149184,-0.020154649149184,0.0160932058706142,0.356857006371443,0.356857006371443,-0.152774044938064,0.0208443200438653,0.0208443200438653,-0.122716591849878,-0.122716591849878,-0.158958352839442,-0.0835174408294891,-0.199395792614854,-0.148944562477049,-0.199395792614854,0.227648441296101,-0.139836979340184,0.0790478602899698,0.23577517248,-0.258164836196589,0.245882881886432,-0.115819275266603,-0.104734271963944,-0.104734271963944,-0.0206246333744759,-0.0491555713397018,-0.145183173081562,-0.145183173081562,-0.0419852060894916,-0.108874949908094,-0.0744051918436939,-0.0744051918436939,-0.163966232997342
