"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi","g__Staphylococcus","s__adolescentis","g__Rothia","s__citroniae","s__mucilaginosa","s__distasonis","g__Actinomyces","s__Actinomyces","s__stutzeri","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis"
"c__Gammaproteobacteria",NA,6.11533046424029e-11,6.11533046424029e-11,0.209148819821371,0.821992825419434,0.414246273780754,0.0950079871388165,0.450520442827682,0.450520442827682,0.450520442827682,0.0478987886777511,0.505572711065758,0.505572711065758,0.505572711065758,0.240429722153595,0.0387317427146656,0.179849890659515,0.179849890659515,0.33884241188104,0.634613364250753,0.634613364250753,0.00944077762939521,0.00944077762939521,0.160277290865182,0.34608811875268,0.365601253761243,0.278132356662661,0.365601253761243,0.0569502964120749,0.0115861077488182,0.28845305691095,0.580789781032983,0.0367580305368245,0.580789781032983,0.689607245830493,0.082361315643479,0.082361315643479,0.869950115232776,0.147156070644099,0.734749055207023,0.734749055207023,0.00118036530804377,0.34608811875268,0.529372686980255,0.529372686980255,0.241698852062577
"f__Enterobacteriaceae",6.11533046424029e-11,NA,0,0.192667335173998,1,0.246639453077631,0.0363921623795163,0.654567980352613,0.654567980352613,0.654567980352613,0.260483901200359,0.239683376473933,0.239683376473933,0.239683376473933,0.41077254243185,0.0505620610264312,0.257396139675236,0.257396139675236,0.517298092438276,0.943989911896996,0.943989911896996,0.651465896372361,0.651465896372361,0.0799465721036425,0.906511166084142,0.563134413642353,0.366807352760255,0.563134413642353,0.109656114592845,0.138916684712129,0.215673294801453,0.263935543482651,0.0372256806960194,0.263935543482651,0.908627005078934,0.176489832648357,0.176489832648357,0.716180139818595,0.266055378078626,0.582847948963944,0.582847948963944,0.0255215813885621,0.906511166084142,0.59399345616189,0.59399345616189,0.404341746458135
"o__Enterobacteriales",6.11533046424029e-11,0,NA,0.192667335173998,1,0.246639453077631,0.0363921623795163,0.654567980352613,0.654567980352613,0.654567980352613,0.260483901200359,0.239683376473933,0.239683376473933,0.239683376473933,0.41077254243185,0.0505620610264312,0.257396139675236,0.257396139675236,0.517298092438276,0.943989911896996,0.943989911896996,0.651465896372361,0.651465896372361,0.0799465721036425,0.906511166084142,0.563134413642353,0.366807352760255,0.563134413642353,0.109656114592845,0.138916684712129,0.215673294801453,0.263935543482651,0.0372256806960194,0.263935543482651,0.908627005078934,0.176489832648357,0.176489832648357,0.716180139818595,0.266055378078626,0.582847948963944,0.582847948963944,0.0255215813885621,0.906511166084142,0.59399345616189,0.59399345616189,0.404341746458135
"f__Prevotellaceae",0.209148819821371,0.192667335173998,0.192667335173998,NA,0.0349404600530883,0.96290520407485,0.751823900585893,0.000295629323350699,0.000295629323350699,0.000295629323350699,0.424353442624626,0.241286857615687,0.241286857615687,0.241286857615687,0.156013812514036,0.604389595055341,0.903375394141716,0.903375394141716,0.027294684853381,0.0735005201828041,0.0735005201828041,0.74098190326931,0.74098190326931,0.168173002969869,0.121959536982776,0.0842130169613873,0.770115857190595,0.0842130169613873,0.3503734509118,0.36462425102241,0.196456134413892,0.964360771062472,0.00166510678231413,0.964360771062472,0.472958283136107,0.131491917489059,0.131491917489059,0.825003046849042,0.480013122217128,0.191146162232156,0.191146162232156,0.416311747659901,0.121959536982776,0.470715621065896,0.470715621065896,0.0151641768650888
"f__Paraprevotellaceae",0.821992825419434,1,1,0.0349404600530883,NA,0.772884967364446,0.940523209563595,0.0117358160229462,0.0117358160229462,0.0117358160229462,0.291732880738547,0.178554906563662,0.178554906563662,0.178554906563662,0.996805777572035,0.866796798499068,0.419826780166777,0.419826780166777,0.256746682476016,0.775041497129622,0.775041497129622,0.492837598149327,0.492837598149327,0.216013714293668,0.419226579409593,0.884479784788034,0.642085822162601,0.884479784788034,0.257240952555618,0.516958485410712,0.260986804981407,0.672071229387263,0.331372314319395,0.672071229387263,0.419226579409593,0.148599219687172,0.148599219687172,0.38801912981411,0.850910626892327,0.492837598149327,0.492837598149327,0.290011044601175,0.419226579409593,0.702911441720002,0.702911441720002,0.215229410141538
"f__Myxococcales.0319.6G20",0.414246273780754,0.246639453077631,0.246639453077631,0.96290520407485,0.772884967364446,NA,1.4658052549521e-10,0.760586529521508,0.760586529521508,0.760586529521508,0.682791956887727,0.459585029193511,0.459585029193511,0.459585029193511,0.470730148235532,0.69819872268189,0.304275492429419,0.304275492429419,0.623459243337678,0.147183835281635,0.147183835281635,0.382974921510754,0.382974921510754,0.408545084752661,0.303646660644443,0.764420667923067,0.576052693137094,0.764420667923067,0.508518460554561,0.966791842930607,0.092535306772201,0.0323685989223617,0.807117981161537,0.0323685989223617,0.303646660644443,0.99601409183855,0.99601409183855,0.382974921510754,0.436896453331908,0.382974921510754,0.382974921510754,0.747901067961087,0.831843713608477,0.628177500412444,0.628177500412444,0.605870161914365
"s__Myxococcales.sp",0.0950079871388165,0.0363921623795163,0.0363921623795163,0.751823900585893,0.940523209563595,1.4658052549521e-10,NA,0.5868251831103,0.5868251831103,0.5868251831103,0.992329392525754,0.31707454274523,0.31707454274523,0.31707454274523,0.702949637000498,0.810647919990017,0.257692301852129,0.257692301852129,0.244345136398981,0.109504737870386,0.109504737870386,0.589371314696057,0.589371314696057,0.291806995637429,0.845574145128976,0.492675182101991,0.996894273750793,0.492675182101991,0.38018905515029,0.425682654803299,0.0422292300767457,0.308461904393678,0.504426049227276,0.308461904393678,0.257070939914162,0.429094202709552,0.429094202709552,0.336720290570138,0.888905413112442,0.51985825293163,0.51985825293163,0.40794697360731,0.180973079457317,0.594218880997248,0.594218880997248,0.868578541805552
"c__Lentisphaeria",0.450520442827682,0.654567980352613,0.654567980352613,0.000295629323350699,0.0117358160229462,0.760586529521508,0.5868251831103,NA,0,0,0.801036266746391,0.388149056499399,0.388149056499399,0.388149056499399,0.292008894601614,0.569562281484318,0.133561084283608,0.133561084283608,0.109278767262295,0.198117755993741,0.198117755993741,0.336421553614475,0.336421553614475,0.432445930986294,0.256774869155712,0.286215373400771,0.721980429013253,0.286215373400771,0.734985774273899,0.206060001352329,0.690473157193491,0.222294222950298,0.0372256806960194,0.222294222950298,0.908627005078934,0.214190793333124,0.214190793333124,0.558993691100319,0.498888312927632,0.336421553614475,0.336421553614475,0.501501460441346,0.256774869155712,0.59399345616189,0.59399345616189,0.0794172841564822
"o__Victivallales",0.450520442827682,0.654567980352613,0.654567980352613,0.000295629323350699,0.0117358160229462,0.760586529521508,0.5868251831103,0,NA,0,0.801036266746391,0.388149056499399,0.388149056499399,0.388149056499399,0.292008894601614,0.569562281484318,0.133561084283608,0.133561084283608,0.109278767262295,0.198117755993741,0.198117755993741,0.336421553614475,0.336421553614475,0.432445930986294,0.256774869155712,0.286215373400771,0.721980429013253,0.286215373400771,0.734985774273899,0.206060001352329,0.690473157193491,0.222294222950298,0.0372256806960194,0.222294222950298,0.908627005078934,0.214190793333124,0.214190793333124,0.558993691100319,0.498888312927632,0.336421553614475,0.336421553614475,0.501501460441346,0.256774869155712,0.59399345616189,0.59399345616189,0.0794172841564822
"p__Lentisphaerae",0.450520442827682,0.654567980352613,0.654567980352613,0.000295629323350699,0.0117358160229462,0.760586529521508,0.5868251831103,0,0,NA,0.801036266746391,0.388149056499399,0.388149056499399,0.388149056499399,0.292008894601614,0.569562281484318,0.133561084283608,0.133561084283608,0.109278767262295,0.198117755993741,0.198117755993741,0.336421553614475,0.336421553614475,0.432445930986294,0.256774869155712,0.286215373400771,0.721980429013253,0.286215373400771,0.734985774273899,0.206060001352329,0.690473157193491,0.222294222950298,0.0372256806960194,0.222294222950298,0.908627005078934,0.214190793333124,0.214190793333124,0.558993691100319,0.498888312927632,0.336421553614475,0.336421553614475,0.501501460441346,0.256774869155712,0.59399345616189,0.59399345616189,0.0794172841564822
