"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales 0319-6G20","s__Myxococcales sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Blautia","g__Erysipelotrichaceae cc_115","s__Erysipelotrichaceae cc_115 sp","s__symbiosum","s__Desulfovibrionaceae sp","g__Desulfovibrionaceae unidentified","f__Brevibacteriaceae","s__Brevibacterium sp","s__ramosum","s__Sphingomonas sp","s__Tepidimonas sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi","g__Staphylococcus","s__adolescentis","g__Rothia","s__citroniae","s__mucilaginosa","s__distasonis","g__Actinomyces","s__Actinomyces","s__stutzeri","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia sp","s__Parvimonas sp","g__Parvimonas","s__fragilis"
"1",7,14,21,22,29,42,49,50,57,64,72,78,85,92,99,106,113,120,127,134,141,148,155,162,169,182,183,196,197,210,211,218,225,232,239,248,255,260,267,274,281,293,295,302,309,316
"2",7,14,21,24,29,38,45,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,186,190,197,204,211,218,225,232,239,246,253,260,268,274,281,289,295,302,309,316
"3",1,8,15,22,29,37,44,50,57,64,71,78,85,92,105,106,113,120,127,134,141,148,155,163,169,176,183,190,197,205,211,218,228,232,239,247,254,260,267,274,281,289,295,302,309,322
"4",1,8,15,22,29,36,43,50,57,64,72,78,85,92,99,106,113,120,127,134,141,148,155,162,169,178,183,192,200,207,213,218,231,232,239,249,256,260,267,274,281,290,295,308,315,316
"5",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,109,113,120,127,134,141,148,155,164,169,176,185,190,200,205,212,218,228,232,239,246,253,260,267,274,281,288,295,302,309,321
"6",4,11,18,28,30,36,43,56,63,70,72,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,184,190,197,206,211,223,225,237,239,246,253,261,269,274,281,290,295,302,309,316
"7",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,114,121,133,134,141,148,155,162,169,176,183,190,201,204,211,218,228,232,239,246,253,260,267,274,281,288,295,302,309,316
"8",1,8,15,22,29,37,44,50,57,64,71,80,87,94,99,111,113,120,132,134,141,148,155,162,169,176,183,190,198,204,213,218,226,232,239,246,253,260,267,274,281,288,295,302,309,316
"9",1,8,15,22,35,36,43,50,57,64,71,78,85,92,99,108,113,120,127,134,141,148,155,162,169,176,183,190,197,204,212,218,226,232,239,246,253,260,267,274,281,288,295,302,309,316
"10",1,8,15,22,29,36,43,50,57,64,71,79,86,93,99,107,113,120,127,135,142,148,155,168,170,176,183,190,197,204,211,219,226,233,239,246,253,260,267,274,281,288,295,302,309,316
"11",1,8,15,25,29,36,43,51,58,65,71,78,85,92,99,107,113,120,127,134,141,148,155,166,169,176,183,190,197,204,212,220,226,234,240,246,253,260,267,274,281,288,295,302,309,316
"12",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,178,185,192,197,204,211,218,231,232,245,246,253,260,267,274,281,288,295,302,309,316
