"","Otu000153","Otu000653","Otu000813","Otu000226","Otu000645","Otu000460","Otu000620","Otu000397","Otu000115","Otu000400","Otu001119","Otu000359","Otu000315","Otu000485","Otu000169","Otu000334","Otu000186","Otu000121","Otu001568","Otu000211","Otu000413","Otu000374","Otu000124","Otu000393","Otu000358","Otu000013","Otu001109","Otu000284","Otu000095","Otu000060","Otu000108","Otu000306","Otu000375","Otu000079","Otu000046","Otu000713","Otu000038","Otu000294","Otu000684","Otu000084","Otu001914","Otu000331","Otu001212","Otu000042","Otu000454","Otu000283","Otu001205","Otu000117","Otu000984","Otu000165","Otu000183","Otu000012","Otu000242","Otu001485","Otu000507","Otu000394","Otu000391","Otu000639","Otu000035","Otu000201","Otu000378","Otu000402","Otu001169","Otu001023","Otu001162","Otu001004","Otu000071","Otu000717","Otu000589","Otu000800","Otu000103","Otu001098","Otu000588","Otu001204","Otu000288","Otu001209","Otu000846","Otu000099","Otu001438","Otu000853","Otu000785","Otu000349","Otu000640","Otu000100","Otu000175","Otu000185","Otu005596","Otu000790","Otu000252","Otu001350","Otu000385","Otu000407","Otu002730","Otu000303","Otu000821","Otu000632","Otu000039","Otu000150","Otu000179","Otu000952"
"1",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"2",1,8,15,22,29,36,43,53,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,429,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,549,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"3",1,8,15,22,29,36,43,50,57,64,71,83,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,296,302,309,316,323,330,337,344,352,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,632,638,645,652,660,666,673,680,687,694
"4",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,156,162,169,179,183,190,197,204,212,218,225,232,239,246,253,260,267,274,281,288,295,303,309,316,323,331,337,344,351,358,365,372,379,386,393,400,407,414,421,430,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,541,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,674,680,687,694
"5",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,203,204,217,218,225,232,239,246,259,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"6",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,156,162,169,177,183,190,197,204,213,218,225,232,239,246,253,260,267,274,281,288,295,303,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,632,638,645,652,659,666,674,680,687,694
"7",1,8,15,22,29,36,43,51,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,360,365,372,379,386,393,400,407,414,422,429,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"8",1,8,15,22,29,36,43,50,57,64,71,78,86,92,99,106,115,120,127,134,141,149,155,162,169,176,183,190,198,204,212,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,688,694
"9",1,8,15,22,29,36,43,50,57,64,71,78,86,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,215,218,225,232,239,246,254,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,633,638,645,652,659,666,673,680,687,694
"10",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,157,162,169,178,183,190,197,206,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,359,365,372,379,386,393,400,408,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,618,624,631,638,645,652,659,666,673,680,687,694
"11",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,156,162,169,177,183,190,198,204,217,218,225,232,239,246,254,260,267,274,281,288,295,302,309,316,323,334,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"12",1,8,15,22,29,36,43,50,57,70,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,178,183,190,197,204,211,218,227,232,239,246,253,260,267,274,281,288,295,303,309,317,323,330,337,344,351,359,365,372,379,386,393,400,408,414,421,428,435,442,449,456,463,470,477,484,493,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,681,687,694
"13",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,114,122,127,134,141,148,155,162,169,176,183,191,197,204,212,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,542,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,690,694
"14",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,127,134,141,148,155,162,169,177,183,190,197,204,211,218,225,233,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,360,365,372,379,386,393,400,408,414,421,428,435,442,449,456,463,470,477,484,492,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,674,680,687,694
"15",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,127,134,141,148,156,162,169,179,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,359,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,542,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"16",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,114,120,127,134,141,148,155,162,169,176,183,190,198,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"17",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,127,134,141,148,155,162,169,177,183,190,197,205,211,218,225,234,239,246,253,260,267,274,281,288,295,303,309,316,323,330,337,344,351,359,365,372,379,386,393,400,408,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"18",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,127,134,141,148,155,162,169,177,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,506,512,519,526,533,540,547,554,561,568,575,582,589,598,603,610,620,624,631,638,645,652,659,666,673,680,687,694
"19",1,8,15,22,29,36,43,50,57,64,71,78,85,94,99,106,113,122,127,134,141,148,157,162,175,179,183,190,197,204,211,218,225,232,239,246,253,260,269,274,281,288,295,305,309,316,323,331,337,344,351,361,365,372,379,386,393,400,408,414,421,429,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,696
"20",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,122,127,134,142,148,155,162,169,177,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,303,309,316,323,330,337,344,352,359,365,372,379,386,393,400,409,414,427,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"21",1,8,15,22,29,36,43,50,57,64,71,78,85,93,99,106,113,121,127,134,141,148,155,162,169,177,183,190,197,204,211,218,225,232,239,247,253,260,267,274,281,288,295,302,309,316,324,330,337,344,351,359,365,372,379,386,393,400,407,414,421,428,435,442,449,456,464,470,477,484,491,498,505,512,519,526,533,541,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"22",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,127,134,141,148,155,162,169,178,183,190,199,204,211,218,225,232,239,246,253,265,267,274,281,288,295,302,309,316,323,330,337,344,352,359,365,372,379,386,393,400,409,414,423,429,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"23",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,216,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,332,337,347,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,542,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"24",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,114,120,127,134,141,148,155,162,169,176,183,192,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,303,309,316,323,330,337,344,351,359,365,372,379,386,393,400,407,414,421,428,435,442,449,456,464,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"25",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,156,162,169,177,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,304,309,316,323,330,337,344,351,359,365,372,379,386,393,400,408,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"26",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,127,134,141,148,155,162,169,179,183,190,197,204,212,219,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,360,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,674,680,687,694
"27",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,177,183,190,197,204,211,218,225,232,239,246,253,260,267,275,281,288,295,302,309,316,323,330,337,344,351,358,365,372,379,386,393,400,408,414,421,430,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"28",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,296,302,309,316,323,330,337,344,351,359,365,372,379,386,393,400,409,414,421,430,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,673,680,687,694
"29",1,8,15,22,29,36,43,52,57,64,71,78,85,93,99,106,113,120,127,134,141,148,155,162,169,178,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,303,309,316,323,330,337,344,351,360,365,372,379,386,393,400,408,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,674,680,687,694
"30",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,123,127,134,141,148,156,162,169,176,183,190,197,204,211,218,225,232,239,248,253,260,267,274,281,288,295,303,309,316,323,330,337,344,351,359,365,372,379,392,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,598,603,610,617,624,631,638,645,652,659,666,676,680,687,694
"31",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,191,197,204,211,219,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323,330,337,344,351,359,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,584,589,596,603,610,617,624,632,638,645,652,659,666,674,680,687,694
"32",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,114,121,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,329,330,337,344,351,358,365,372,379,386,393,400,407,414,421,428,435,442,449,456,463,470,477,484,491,498,505,512,519,526,533,540,547,554,561,568,575,582,589,596,603,610,617,624,631,638,645,652,659,666,679,680,688,694
