"","f__Prevotellaceae","f__Paraprevotellaceae","g__Paraprevotella","g__Blautia","s__symbiosum","s__ramosum","f__Microbacteriaceae","s__hathewayi","g__Staphylococcus","s__adolescentis","s__citroniae","s__distasonis","s__stutzeri","o__Alteromonadales","s__fragilis","c__Gammaproteobacteria.f__Enterobacteriaceae.o__Enterobacteriales","f__Myxococcales.0319.6G20.s__Myxococcales.sp","c__Lentisphaeria.o__Victivallales.p__Lentisphaerae","g__Streptococcus.f__Brevibacteriaceae.s__Brevibacterium.sp.c__Bacilli","c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae","g__Erysipelotrichaceae.cc_115.s__Erysipelotrichaceae.cc_115.sp","s__Desulfovibrionaceae.sp.g__Desulfovibrionaceae.unidentified","s__Sphingomonas.sp.g__Actinomyces.s__Actinomyces.s__Roseburia.sp","s__Tepidimonas.sp.g__Tepidimonas","g__Rothia.s__mucilaginosa","g__Shewanella.f__Shewanellaceae","s__Parvimonas.sp.g__Parvimonas"
"f__Prevotellaceae",1,0.177135841470683,-0.0467534044644403,-0.134400832642618,-0.246679236468456,-0.0919709009227449,-0.0639093980886785,0.071594355761661,-0.151641956657344,-0.116457661749275,-0.358499309115421,-0.0371134809512603,-0.0373370063691462,-0.108571724005093,-0.261557187173593,-0.155379700966105,0.0178420395824572,0.584438760387613,0.117213950439605,0.0694489101815186,-0.0869900257155439,0.140260213393321,-0.220561625899338,0.223507483155799,0.145549917019739,-0.195615199108988,-0.113714706536836
"f__Paraprevotellaceae",0.177135841470683,1,-0.0355806526816899,-0.0507887031136225,-0.126232120806092,-0.141191638689983,-0.13647666482256,-0.139219370388495,-0.163463184815973,-0.126065047225737,-0.119267427370226,-0.0854636598166996,-0.0543794923387142,-0.12073386873038,-0.133845551501132,0.0987802105468544,0.0827629207683892,0.0488281422556604,0.171957091093101,-0.142155186555487,-0.10386842057969,0.240476135365905,-0.137996938089053,-0.0158364744415467,-0.108380338799846,-0.100101337262697,-0.058190745108872
"g__Paraprevotella",-0.0467534044644403,-0.0355806526816899,1,0.0770800102638136,-0.127843971372804,-0.0687992436768009,-0.0823355022893211,-0.0737889251848355,-0.146400880374752,-0.169393533952123,0.0269138219114138,-0.111051621503845,-0.0993070740063617,-0.19853182216508,0.478277612755881,0.169523267048023,-0.0171234858910877,-0.0257754937134317,0.146528893321214,-0.0331912794260758,0.335006874118208,0.203367875647668,-0.071206588656843,0.170911233776843,-0.203644553528616,-0.130071843887424,-0.0756131508376434
"g__Blautia",-0.134400832642618,-0.0507887031136225,0.0770800102638136,1,0.205944193438341,-0.0527401201617433,-0.130560040015465,-0.0708204299578296,-0.386294646978293,0.0626080268268594,-0.156671182232552,-0.171590046328767,-0.0843044957058523,-0.0116737040861832,-0.0343723147677966,0.356904249340983,-0.0345031081491728,0.0282135384905135,0.25416875510312,0.0485367550434416,0.240066121428915,-0.0569721814993409,-0.0714797073117689,0.358872990491271,-0.242569172477587,-0.168261412081916,-0.17117353391333
"s__symbiosum",-0.246679236468456,-0.126232120806092,-0.127843971372804,0.205944193438341,1,-0.110322613352957,0.0414220840033782,0.319695851466778,-0.11013320046691,-0.0923792290454686,0.0769675181059809,-0.109861501724922,-0.0549003985066724,0.118682747752916,-0.0877144526977931,0.125884433603297,0.0106538319926183,-0.172610392263931,0.135214628853755,0.0389660015668361,-0.0325385809460174,-0.16402622742171,-0.117616821616554,0.0847560191122712,0.0220587541533086,0.189232188069922,-0.0748028186233096
"s__ramosum",-0.0919709009227449,-0.141191638689983,-0.0687992436768009,-0.0527401201617433,-0.110322613352957,1,-0.00783707322619481,-0.0597003497634768,-0.160207641600405,-0.114247638084662,-0.00567251689282182,-0.031858029275021,-0.0869925922093923,-0.0698980749003882,0.163934801002966,0.19952175991015,0.180306830354488,-0.134561226070361,0.186872367813161,-0.0766473460499937,-0.149343619345225,-0.0687992436768011,-0.0122523835963342,0.138868447000002,0.0535454279901531,0.0479757495899624,-0.0836675520668664
"f__Microbacteriaceae",-0.0639093980886785,-0.13647666482256,-0.0823355022893211,-0.130560040015465,0.0414220840033782,-0.00783707322619481,1,-0.110423326023024,0.115302169876451,-0.210877606847647,-0.0374467119272859,0.149429714399953,0.0461329216673823,0.452175438411785,0.104010432698867,-0.172102521002593,0.0551266339251173,-0.105701155297711,-0.00886141763626503,-0.158304290364966,0.0210024806920859,0.0770235343996875,0.0302601042240597,-0.0514232233804838,0.350892397369506,0.541738150722271,-0.0920542203489317
"s__hathewayi",0.071594355761661,-0.139219370388495,-0.0737889251848355,-0.0708204299578296,0.319695851466778,-0.0597003497634768,-0.110423326023024,1,-0.0703737392633685,0.344625399013215,0.310868560211473,-0.0999075525300587,0.0199592879141082,-0.169972281598495,0.10985930742175,0.20164428869643,0.178797009352376,0.219516658160201,0.132707790186692,0.0769025864005734,-0.0808255331488028,-0.180901881098306,0.0049419050764713,0.0904639291750193,-0.102352982728099,-0.0971009461579526,0.308285073074297
"g__Staphylococcus",-0.151641956657344,-0.163463184815973,-0.146400880374752,-0.386294646978293,-0.11013320046691,-0.160207641600405,0.115302169876451,-0.0703737392633685,1,-0.0362253696315881,0.0510810402688419,-0.114290897663919,0.252025211125185,0.222053309697625,0.0650880716156635,-0.428912241372155,-0.402889034956115,-0.127628049762516,-0.751898325192616,0.306759865666928,-0.2020416852551,-0.23365968324712,0.352451942109976,-0.634061912017494,0.351634426701347,0.316410363144564,0.205158439958516
"s__adolescentis",-0.116457661749275,-0.126065047225737,-0.169393533952123,0.0626080268268594,-0.0923792290454686,-0.114247638084662,-0.210877606847647,0.344625399013215,-0.0362253696315881,1,0.229849414349419,-0.0605100889534403,0.463805915569979,0.0927227334712855,-2.04572550496465e-20,0.206989337476046,0.265544150466295,0.0703774181190283,-0.12784878801983,-0.0107838102543752,-0.126070373213139,-0.154874088184798,0.428449811018509,0.0763521993572493,0.0922855274657726,-0.176172205875919,0.0882863255318989
"s__citroniae",-0.358499309115421,-0.119267427370226,0.0269138219114138,-0.156671182232552,0.0769675181059809,-0.00567251689282182,-0.0374467119272859,0.310868560211473,0.0510810402688419,0.229849414349419,1,0.545940647097633,0.361546784530062,-0.087053341004533,0.317265444178263,0.276323310868463,0.19665495782711,-0.264096555323605,0.139188788388888,-0.227021329015285,-0.172584136916369,-0.247030436829762,0.152878535657828,-0.0992544350474545,-0.0882750720260579,-0.205105296079451,0.511993977164635
"s__distasonis",-0.0371134809512603,-0.0854636598166996,-0.111051621503845,-0.171590046328767,-0.109861501724922,-0.031858029275021,0.149429714399953,-0.0999075525300587,-0.114290897663919,-0.0605100889534403,0.545940647097633,1,0.0997708517754042,-0.0926779160462958,-0.0733440269445113,0.105577610832238,0.120906932174793,-0.0991568310894793,0.14268127654325,-0.0979446505940911,-0.0903980745456177,-0.0879158670238769,-0.0788590112011916,-0.148206514171773,-0.048616776654908,-0.087119531590901,-0.050644183139196
"s__stutzeri",-0.0373370063691462,-0.0543794923387142,-0.0993070740063617,-0.0843044957058523,-0.0549003985066724,-0.0869925922093923,0.0461329216673823,0.0199592879141082,0.252025211125185,0.463805915569979,0.361546784530062,0.0997708517754042,1,0.266195800228469,0.177953891955224,0.0557428239530091,0.108120111158833,0.00237509591498778,-0.0490742578979428,-0.110635281142508,-0.0808377955888151,-0.0993070740063616,0.156209090934695,-0.031155041202625,0.475811751654441,0.038952991653515,-0.0452881783704685
"o__Alteromonadales",-0.108571724005093,-0.12073386873038,-0.19853182216508,-0.0116737040861832,0.118682747752916,-0.0698980749003882,0.452175438411785,-0.169972281598495,0.222053309697625,0.0927227334712855,-0.087053341004533,-0.0926779160462958,0.266195800228469,1,0.0915037474870485,-0.107102983827369,0.0719802995296992,-0.0535254214288782,-0.0758943993705812,-0.108076026691138,-0.161608576414482,-0.19853182216508,0.223400576244389,-0.139128465239102,0.615423688842238,0.566354117569663,-0.0905388127118747
