"","Otu00001","Otu00057","Otu00023","Otu00002","Otu00046","Otu00003","Otu00213","Otu00015","Otu00007","Otu00049","Otu00083","Otu00203","Otu00207","Otu00018","Otu00028","Otu00013","Otu00300","Otu00033","Otu00171","Otu00073","Otu00108","Otu00075","Otu00014","Otu00101","Otu00005","Otu00027","Otu00154","Otu00077","Otu00036","Otu00035","Otu00006","Otu00050","Otu00559","Otu00056","Otu00022","Otu00009","Otu00393","Otu00024","Otu00189","Otu00012","Otu00011","Otu00162","Otu00346","Otu00090","Otu00111","Otu00048","Otu00194","Otu00119","Otu00020","Otu00039","Otu00044","Otu00081","Otu00275","Otu00184","Otu00099","Otu00059","Otu00040","Otu00160","Otu00010","Otu00512","Otu00008","Otu00004","Otu00107","Otu00053","Otu00078","Otu00110","Otu00091","Otu00491","Otu00069","Otu00079","Otu00037","Otu00029","Otu00178","Otu00038","Otu00041","Otu00092","Otu00234","Otu00514","Otu00058","Otu00047","Otu00067","Otu00043","Otu00085","Otu00054","Otu00122","Otu00068","Otu00088","Otu00126","Otu00096","Otu00031","Otu00034","Otu00131","Otu00061","Otu00324","Otu00285","Otu00045","Otu00032","Otu00120","Otu00264","Otu00607"
"Otu00001",1,-0.0267049183805084,-0.0209508238343475,0.6175562628633,0.259871392116774,-0.134462954373993,-0.0353128272364017,0.540257301399717,0.222834309579032,-0.130118924134909,0.275037124031905,0.252697593522293,0.00215215214978015,-0.00635354527836448,-0.066058533825188,-0.0680140694850324,-0.0252634719506766,0.097081150295804,-0.0417013085285231,0.284648961936947,-0.056936028874315,0.0145537145527174,-0.0717008645428629,0.297919624823093,-0.0576037052656284,-0.0515539553671952,0.326960970313911,-0.0258191852905637,0.0185015933370432,0.625790145769539,0.0269559397880802,-0.0621736565681777,-0.0212471905005744,0.20148268499978,-0.0943929947545349,-0.00024163474901737,-0.0578398334285963,-0.0214476515397672,-0.029983400762111,-0.0975887846770912,-0.126594937372674,-0.0538104747616472,-0.0412135661154015,-0.0969193033972524,-0.124955493548116,-0.0505236241358484,0.00720631137125472,0.0164760615457034,-0.0261704132130892,-0.072791803501846,-0.0459654777904477,-0.0922353405761064,0.295916036692328,-0.0557660173396776,0.00916179965655813,-0.0652480929162912,-0.0872090860300556,0.236078525407704,-0.119758610005882,-0.0153061854287343,-0.0906589088552863,-0.111444024618559,-0.0281772267286144,-0.0690392462323425,-0.0375571117206385,-0.0123360912714435,-0.0430001293411491,-0.0235749265483676,-0.0689591505712684,-0.0976107233877062,-0.0957036795390767,-0.00677620590193283,-0.0970968126982148,0.273376787189497,-0.130141762374592,-0.0546825406948746,0.686500027280721,-0.0260088484282411,-0.0942479396250075,0.0165064838614735,-0.069607047570731,-0.100868152094082,-0.0988920273210864,-0.0363427292068941,-0.076349221147422,0.0130113724954299,0.0626660243837452,-0.050151484719724,-0.0784941676461163,-0.101134144764577,-0.0921885561743378,-0.0913363589820874,-0.13745046747749,0.737978489700812,0.00865308429234082,-0.0740834622592095,-0.0920350039455643,-0.0527566692366556,-0.0803277399865749,0.116303763186902
"Otu00057",-0.0267049183805084,1,0.543347704674445,0.0790216820903948,-0.0309004628873572,-0.122788397692398,0.420124727853744,-0.0293408809368579,-0.0327659899089941,-0.117040632169421,-0.0385418856670291,-0.0485379285646914,0.494325008835859,-0.0251397542869474,-0.0716441013707872,-0.0980129587008833,-0.0330908551874625,-0.0607960616132236,0.394997082262208,-0.0423777806251267,-0.0212500828619046,0.45447075261438,-0.0740805360295484,0.00368900620333755,-0.0712767737075983,-0.0530220502986693,-0.029910521058264,-0.0668742189601551,-0.0437547908034872,0.0584563117502979,-0.057320328537431,0.0608387144608973,-0.0245428278723554,-0.0461349051304926,-0.0883280150839788,-0.0604306910835738,-0.0515188502635123,-0.0436928065006038,-0.0271732985778719,-0.101136437988886,-0.123653443618852,-0.0164245192013422,-0.0420247061762903,-0.0947962543997404,-0.105744411121066,-0.0628000266385978,-0.0439905576180207,-0.0428792878113024,-0.0661114162540783,-0.0675719174278036,-0.0514926988215931,-0.087161358371847,-0.00316830633474863,-0.0538726480787043,-0.050274458448404,-0.0650512019464948,-0.0785896837827896,-0.0283832036370431,-0.114637057477579,-0.0176800631266193,-0.090902318848094,-0.103258092185308,-0.0293131201858037,-0.0970427014324377,-0.0457537521779,-0.0707747443480183,-0.0419551459169625,-0.0220411500865579,-0.0698059749937073,-0.093927857201817,-0.0938342611928305,-0.019395404587696,-0.0854019738820832,-0.0507195227457429,-0.123049826803282,-0.0555908300371807,0.0914514447543052,-0.0258901786395608,-0.0996879476411054,-0.0383159488285387,-0.0755744580705637,-0.0835894187770289,-0.0917719447981964,-0.0631055826331376,-0.0908566897378076,-0.0415882086619069,-0.0239218843000983,-0.0527222112709813,-0.0822831332186653,-0.0947675618205734,-0.0902645190888956,-0.0780982691430035,-0.121613406720659,0.0453863725015273,-0.0486492915745769,-0.0761376333084764,-0.0936852744291383,-0.0561557248232396,-0.0673404266704817,-0.0261004034751998
"Otu00023",-0.0209508238343475,0.543347704674445,1,0.107705517368075,0.00319361084139727,0.0660079409036356,0.45014766225541,0.00537378198966522,-0.0342998552202828,-0.0669468510691337,-0.00449805222982798,-0.0474424308974638,0.574667547719068,0.0511831894669838,-0.040364846350631,0.156890458454567,-0.0413769594322162,-0.0550182818365081,0.572869084362057,0.0112369174336537,0.181137571079893,0.35839856164056,-0.0924934887247602,0.0374433877845495,0.0255558769246455,0.456824000742076,-0.00202527544202834,-0.0852358258915108,-0.0548112599371446,0.0814338468820204,-0.0680170580577411,0.0122688760682291,-0.0295394738005649,-0.0144134382689794,0.212672711610051,-0.0764900261491095,-0.0650984646391621,0.0493301522515456,0.430517034683114,0.0340895513969352,-0.0995221113876847,0.030847815719685,-0.0525651507465875,0.298875754041654,-0.133659572111685,-0.0260617406822561,-0.0562418532413008,-0.0548207169828786,-0.0821402844361758,-0.0360659574241288,0.179646829960487,-0.109652805334508,0.00979674990868119,-0.0660191567597166,-0.0637193501930027,-0.0377930087347623,-0.0298422526129152,0.000968454068259329,-0.0201566903052641,-0.0207227326692193,0.0961325084232098,-0.0507064106282841,-0.0355919524032543,-0.0309879104260991,-0.0554935332727132,-0.0877538378255063,0.337939759318878,-0.0271307801214349,0.248406691408982,-0.11830493698009,-0.117059692891311,-0.0247131951025791,-0.109138016777165,-0.0182729353562315,-0.151723579292869,-0.0683956979520305,0.106775551241064,-0.0318806660643851,0.045582235164628,-0.030756386051723,-0.091467655985747,-0.106598408434479,-0.114850696006433,-0.0782547133099606,-0.110847771273374,-0.0531787083597001,0.0403506800284963,-0.0656529733652804,-0.102602455095031,0.0673393996702299,-0.112411705158326,-0.0978830646781955,-0.129307432759553,0.0489406196406442,-0.0620690631648475,0.029003034493448,-0.0890682291064729,-0.0423349020468453,-0.0853899337941379,-0.0126531767022521
"Otu00002",0.6175562628633,0.0790216820903948,0.107705517368075,1,-0.0116205057597453,-0.119923431200168,0.0958944381102508,0.258480406975454,0.0684294560094874,-0.144062967324574,0.00199241395085716,0.0386794420113329,0.0344309719555244,0.0114436322620026,-0.0792917934988539,0.13813499016027,-0.0524868532870809,0.0883771123771775,0.0838387285437,0.0146738958337241,-0.00108995483373369,0.0377920150164667,-0.110104035054165,0.0517606306506726,-0.0497837784428711,0.0540022366077316,0.0281791859565465,0.185733100128006,0.27497358601983,0.390954882294599,0.391511512689055,-0.0645488210273366,-0.0391731423362876,-0.026769469105625,-0.0474022554299896,0.361713206775738,-0.0811374035474145,-0.0154661210398809,0.0585967834517193,-0.0963507961806793,-0.1628771567285,-0.0447893090927301,-0.0675662113208748,-0.0396210532822678,-0.169905847624046,0.0802555007644727,0.305520246197396,0.339059770035199,0.0728717629570595,-0.0813685486945811,0.0141071062816098,-0.130698835639703,0.117985598237288,-0.0869588769890759,0.365093971510884,-0.0832009650697217,-0.0986618737135141,-0.023985386405635,-0.126670686878829,-0.028364839149407,-0.0871900914411287,-0.123636454847052,-0.0416689367842515,-0.0976347418222748,-0.0495130361106373,0.253643442425096,0.0396644909516924,-0.0352795040920986,-0.00390921801626477,-0.14406015800189,-0.140405065079503,-0.00690753099836359,-0.136079196770029,0.00319516237007074,-0.191447808145485,-0.0845636657773744,0.498968893303271,-0.0409885245004074,-0.0975666323812765,-0.0339175619106286,-0.110242361755677,-0.132782022438988,-0.142026718080625,-0.0721930169460075,-0.135281319741337,0.302928970021611,-0.00932302005312358,-0.0712711843870987,-0.117787331002616,-0.0802166209760273,-0.136014301373235,-0.124534522862207,-0.180421452282699,0.556057221275707,0.289953224329552,-0.0641470044066817,-0.134789330057084,-0.0644652387180745,-0.108221918852564,-0.039225423300396
"Otu00046",0.259871392116774,-0.0309004628873572,0.00319361084139727,-0.0116205057597453,1,-0.166805897115909,-0.0530453170095822,0.0965225204152357,0.142673164642985,-0.163039407085868,0.950559655035126,0.193335248536491,0.00476738836920953,-0.0304655243366164,-0.0897033589182787,-0.118910066034549,-0.0364753893620999,0.170771859679415,-0.0631323052620018,0.923549234152068,-0.0775064672038877,0.11274910881835,-0.0863693227418704,0.835005234224702,-0.0839257234573184,-0.0677767911106366,0.943972737833461,-0.0952715529442542,-0.0579909946685906,0.259591917978325,-0.0654605192390215,-0.0485575712522426,-0.0223864528975956,0.779321736647143,-0.126280187927552,-0.0833207118629264,-0.055247627385611,-0.03816938097555,-0.0442093433524763,-0.126574827003317,-0.147518402596588,-0.0848564641443633,-0.0459415051123204,-0.122514302840591,-0.138794339014185,-0.0871917841370336,-0.0598595328899238,-0.0589033940087623,-0.061081018713866,-0.0899168174368348,-0.070329308880965,-0.109427219910655,0.448211057056714,-0.0640413090237562,-0.0715397049593537,-0.0743775372269709,-0.110285116437913,0.95012865166312,-0.139987087511086,-0.0013134215269814,-0.109415908423268,-0.140787159502878,-0.0305971627248639,-0.100129429070891,-0.0618907711040407,-0.0852413362396704,-0.0607730965934365,-0.0133641155095235,-0.0873538654981975,-0.117470909905152,-0.120360745276491,-0.0275143208569841,-0.107951881795476,0.854753260845671,-0.154321024461456,-0.0570106578795227,0.236380948513158,-0.0311507841848978,-0.107850641875633,0.046888787344736,-0.0830961353969333,-0.122785353269639,-0.121795587650694,-0.0521752356397174,-0.0557123160757878,-0.0604402769998095,0.260205705792965,-0.0618752983859368,-0.0965751394819592,-0.131766691438347,-0.115539952570622,-0.11060377780869,-0.160868155905856,0.176760392068278,-0.0662886479840171,-0.103698167141824,-0.103892162668606,-0.0780804477656127,-0.0979379244374693,0.26722301833514
"Otu00003",-0.134462954373993,-0.122788397692398,0.0660079409036356,-0.119923431200168,-0.166805897115909,1,0.122087861555127,-0.0752954996051891,-0.0671322150546087,0.776121227490519,-0.154645796840828,-0.0986660859400118,-0.0875432379952086,0.0507385326984069,0.506598468347032,0.318998168016166,0.0537656049109489,-0.137053679627826,0.109829742129803,-0.15451069723899,0.39801665091445,-0.0909895498656656,0.638812676469906,-0.135412892631981,0.383803632535766,0.417670831348634,-0.155912484800035,0.180020926934692,-0.00772917550513383,-0.0846067680014883,-0.0657371714344844,-0.0189935728198517,0.201710195975942,-0.140182297679006,0.542880168543016,0.0213464203454646,0.0675925641812239,0.0782990754047764,0.236768625106857,0.54962560821882,0.806551634958472,0.260717591910722,0.136872945776163,0.552791347526819,0.276212422985084,0.250454362808467,0.0121284636927826,-0.0885705844555121,0.233238214872622,0.554181171603289,0.466452136863216,0.459794742657754,-0.0595076303651088,0.351299745781832,-0.0499161431114184,0.391293351319275,0.583082322867717,-0.164303060514521,0.670780724873746,0.189283657286954,0.747485205412509,0.882223367110156,0.0277049414504731,0.577106137213381,-0.0629090466161194,0.298071898582427,0.357642739020442,0.125478971638311,0.474478932030829,0.579380735538159,0.489040107283248,0.0697697633440564,0.358509145089822,-0.120817762164916,0.625625777968461,0.139997871888997,-0.0922920293868136,0.111112839081193,0.541969377618888,-0.0672397491796633,0.493174161433991,0.425011008447396,0.415623370602681,0.285176167431976,0.252096366974835,-0.0512257356763213,-0.0395715755686345,0.109901782496256,0.396564543103574,0.657502339497197,0.512031766081973,0.603250141440788,0.547167017074245,-0.0764827826051676,0.047425795922461,0.459763961565717,0.577327241980846,0.399368687540969,0.404841762660769,0.000293100053369028
"Otu00213",-0.0353128272364017,0.420124727853744,0.45014766225541,0.0958944381102508,-0.0530453170095822,0.122087861555127,1,-0.000685355629005446,-0.0275271803293123,0.0820152819653348,-0.0573361213446016,-0.039381052955704,0.198423341943095,0.0404576102470513,-0.0191321986164126,0.228004311035221,-0.0309117566082668,-0.0604844728271364,0.368249667773686,-0.0586149729663161,0.327994857213036,0.260996216320299,-0.0690608023128461,-0.0382647446322567,0.127260134709061,0.337233031561692,-0.0507324770750527,-0.062379363098197,-0.0408917561361479,0.0341866612754336,-0.039918234927591,0.0547242891619902,-0.0228276275125006,-0.0573571343119709,0.246679713020815,-0.0558795016877167,-0.0479847579904273,0.0198339653403367,0.170567418774954,0.147406521631413,0.0288860693998893,0.102459434302355,-0.0391573052744085,0.133333026753126,-0.0979587325740561,0.0720607289055345,-0.0409603476453881,-0.0399283479520208,-0.063214641965982,0.105837330118188,0.29222947149805,-0.0802267805016429,-0.0211049367590616,-0.0480580482413473,-0.0442772730238916,0.0600920261720165,0.0514311058996313,-0.048724996754182,0.0513050337372752,-0.016448473057099,0.121776143261843,0.0645748001135991,-0.0274545824675904,0.111522364391597,-0.0454201237455357,-0.0649512250231931,0.240974320138781,-0.0206319734854757,0.120480683900968,-0.0861612134883556,-0.0868458238427654,-0.017958368398637,-0.0795078184719838,-0.0707152555808766,-0.105117141459916,-0.0507736331106837,-0.0162624730647619,-0.0240989270899017,0.0352388323271654,-0.036334755483084,-0.0699476625930106,-0.0778589016789931,-0.0854622412672989,-0.0591740167894302,-0.0832912575828863,-0.0387830489489512,-0.0226922879313134,-0.0491887928659736,-0.0748925627130838,0.215056814110704,-0.0827423724877582,-0.0728378228133385,-0.0663383174690869,-0.0200977526767165,-0.0449956702360899,0.183582653609474,-0.0374887081612146,0.0361159070312097,-0.0618386029776848,-0.0259013438392765
"Otu00015",0.540257301399717,-0.0293408809368579,0.00537378198966522,0.258480406975454,0.0965225204152357,-0.0752954996051891,-0.000685355629005446,1,0.0829340359208036,-0.0823252220142278,0.0964533094523328,0.0711157403391407,-0.0118391579262396,-0.0077330440437797,-0.0437174774589976,-0.0261537008548722,-0.0222527501113116,0.0822176988133256,-0.0138316346524821,0.106256455069655,-0.0292411922678958,-0.00773879183432933,-0.0512459229659967,0.113561943522317,-0.0409914145732047,0.0116709132090552,0.10825678126449,-0.0347447724151491,-0.0104960675105126,0.401582893211395,-0.0155212564333442,-0.0381538928778777,-0.0180014976104079,0.0538554955469021,-0.0441827296589544,-0.0283954904334187,-0.0396445114596929,-0.0162698455377588,0.0267381965210791,-0.0588655111271203,-0.0856954065353519,-0.0380702988184058,-0.015337069035569,-0.0215946476927086,-0.0734979488390045,-0.044393418649135,-0.0213424338523883,-0.0156833163586108,-0.0172460703686695,-0.0474280805671702,-0.0221154947173068,-0.0628238756215407,0.0859009266780283,-0.0371057876134352,-0.021215488675627,-0.0439481385638375,-0.0570915233845142,0.110844275667602,-0.0726341769332383,-0.00989259818381683,-0.0495165820503755,-0.0710273723651728,-0.0211417240264763,-0.0546206237611196,-0.025214999768808,-0.0322341412321532,0.00467878044994697,-0.0130039636333501,-0.0269440582526518,-0.0682702498771619,-0.052600685064058,-0.0112319586653487,-0.0692746591702845,0.082873220696454,-0.0858408404544708,-0.0372261425438224,0.306565556666629,-0.0194815923695637,-0.0511327325456088,0.0282098822753493,-0.0489075646253212,-0.0648640907026688,-0.0678670404094762,-0.0327495387578076,-0.0532246144159774,-0.0142356280185094,0.0517331433721992,-0.0372539600006151,-0.0578702074627422,-0.0594935206885111,-0.0663080870456523,-0.0596744484981568,-0.0919760735049588,0.258578905952207,-0.021666497622197,-0.0511025283769312,-0.0666881037115152,-0.0392787876539162,-0.0533056788879817,-0.00244518406193479
"Otu00007",0.222834309579032,-0.0327659899089941,-0.0342998552202828,0.0684294560094874,0.142673164642985,-0.0671322150546087,-0.0275271803293123,0.0829340359208036,1,-0.0630918255320885,0.144967517094648,-0.0287881902450154,-0.024804207819203,-0.00317253774548849,-0.0323474179069359,-0.0356769015080466,-0.0189904443043438,-0.0179265427425334,-0.0311375522004023,0.140094621952969,-0.0236419195808082,-0.010406812447735,-0.0379207593566165,0.0592351976921192,-0.0293009279441563,-0.025788836641519,0.151539164100402,0.0231986440909207,0.0454802292052308,0.353541555349097,0.0661578655623099,-0.0409042136320247,-0.01081116752198,0.10220081705283,-0.0466945825330268,0.0491290583672392,-0.0286871030060374,-0.0145841078065284,-0.0150582751718103,-0.0481010686809235,-0.0645528385379236,-0.0256493221811528,-0.021500888000158,-0.0502266431789761,-0.0615443302234861,-0.0191018169387449,0.0453624337899352,0.0599830166678685,-0.00848070139206958,-0.0319176935520808,-0.0240736034123898,-0.0465992356666335,-0.0121223895952793,-0.0307913906300693,0.0533481144352401,-0.0314007404145324,-0.0433257204908627,0.102841154858689,-0.0618990921300171,-0.00609942149069929,-0.0489639491668862,-0.055784399676768,-0.0141415955937778,-0.0533583301345051,-0.0169384213714849,0.0296458109084953,-0.0207524369534647,-0.0104897703322355,-0.0384278894510833,-0.0506685567844183,-0.0543842084465247,-0.000348042879052524,-0.0482410561541042,0.123716315051255,-0.0693466245583978,-0.029788429593818,0.00893779324657656,-0.0136535056863257,-0.0540278727445591,-0.0135338564173419,-0.0369822873731222,-0.0492859500528594,-0.0519459553701938,-0.0290678019535887,-0.0434397600203299,0.0403117592938893,0.00719585346771542,-0.0238253893730921,-0.0395850025838512,-0.0479242490312173,-0.0474986913043848,-0.045780858683202,-0.0682872570165295,-0.00074801508726367,0.0511815923281347,-0.0324327476433364,-0.0497354317293687,-0.0294322411305447,-0.0395101506604751,-0.0174032155420158
"Otu00049",-0.130118924134909,-0.117040632169421,-0.0669468510691337,-0.144062967324574,-0.163039407085868,0.776121227490519,0.0820152819653348,-0.0823252220142278,-0.0630918255320885,1,-0.152920936753357,-0.0928544346271629,-0.0874601169346651,0.0465170566864063,0.4771982640533,0.280662649810234,0.0893463329178575,-0.134154054941042,-0.054829530872404,-0.151705795467153,0.360189160956068,-0.0905009914953209,0.604060380925082,-0.136996861299067,0.312772548763352,0.244130607853576,-0.152698863085121,0.139447282170028,0.00823408117866134,-0.0703400480456041,-0.0266212336011656,0.0348674832676228,0.191732532736538,-0.114542575725194,0.327297727438122,0.0165190346241542,0.0999209093036111,0.0876812604501319,-0.00990089543488444,0.476509353111118,0.807666011117571,0.227460412154072,0.166620147397331,0.317656823563262,0.288620601488254,0.237824379122186,0.0104399130683091,-0.0867839586791467,0.24965005226162,0.69180127279962,0.349080235088526,0.334543206395945,-0.0663328074662832,0.357562159528909,-0.0462305371658964,0.453415909432917,0.368199088025862,-0.161032274803588,0.582218169828624,0.165890914175566,0.653063898722902,0.839974265536842,0.0449759028361721,0.673301719680335,-0.01032360605371,0.274656708521825,0.153340112533527,0.120448908615531,0.272408036952191,0.626358206361866,0.402252358511049,0.116897117181912,0.432850023678621,-0.0810499609438251,0.657016155380028,0.170923373215454,-0.0845514601333195,0.173138589154893,0.384788248219193,-0.0363931023034945,0.485017957841708,0.376339096423303,0.341964842097252,0.220365462840105,0.350321754680572,-0.0458574999845879,-0.0445376578201093,0.156162552287766,0.510120864761651,0.586315471243137,0.401292198045088,0.581290311522298,0.58738776881287,-0.0652435869335641,0.0713625872348985,0.414527273031417,0.479537749367973,0.386553362225534,0.260076454152943,-0.00141603222490112
