"","Otu00001","Otu00057","Otu00023","Otu00002","Otu00046","Otu00003","Otu00213","Otu00015","Otu00007","Otu00049","Otu00083","Otu00203","Otu00207","Otu00018","Otu00028","Otu00013","Otu00300","Otu00033","Otu00171","Otu00073","Otu00108","Otu00075","Otu00014","Otu00101","Otu00005","Otu00027","Otu00154","Otu00077","Otu00036","Otu00035","Otu00006","Otu00050","Otu00559","Otu00056","Otu00022","Otu00009","Otu00393","Otu00024","Otu00189","Otu00012","Otu00011","Otu00162","Otu00346","Otu00090","Otu00111","Otu00048","Otu00194","Otu00119","Otu00020","Otu00039","Otu00044","Otu00081","Otu00275","Otu00184","Otu00099","Otu00059","Otu00040","Otu00160","Otu00010","Otu00512","Otu00008","Otu00004","Otu00107","Otu00053","Otu00078","Otu00110","Otu00091","Otu00491","Otu00069","Otu00079","Otu00037","Otu00029","Otu00178","Otu00038","Otu00041","Otu00092","Otu00234","Otu00514","Otu00058","Otu00047","Otu00067","Otu00043","Otu00085","Otu00054","Otu00122","Otu00068","Otu00088","Otu00126","Otu00096","Otu00031","Otu00034","Otu00131","Otu00061","Otu00324","Otu00285","Otu00045","Otu00032","Otu00120","Otu00264","Otu00607"
"Otu00001",1,-0.0474671962226711,-0.0558830255075924,0.592352749131779,0.214403552409127,-0.0796024592438114,-0.0367948792722963,0.466463395751582,0.290178871733075,-0.0760493169287872,0.219267358640985,0.162092850042204,-0.0347675074818941,-0.0132184367253237,-0.0361730174450332,-0.0731690685799532,-0.00440398358513812,0.076122090140979,-0.0431888300763142,0.24685149738315,-0.0464525274462943,-0.0282460536093687,-0.0454324443349175,0.232817026955463,-0.0430558770482952,-0.0468089088077595,0.276296475741708,-0.0530709204078347,-0.028077822812112,0.630893493334769,-0.0442940314024684,-0.0410782289724689,-0.0219164163586268,0.136173049487463,-0.070392319485879,-0.0437988174237426,-0.0421440214916329,-0.0197968364136822,-0.0238936287646758,-0.0694926720424029,-0.0858479345754334,-0.0366544630404463,-0.0333671304997311,-0.0615807576381128,-0.086775768525641,-0.0480339268425336,-0.0329424842705155,-0.0364588730049329,-0.0479401769747078,-0.0447305173863029,-0.0458185468434783,-0.0698536205898497,0.24045952699606,-0.038448017432273,-0.0370759239697002,-0.0357342017115593,-0.0633810039354877,0.193983364249327,-0.0948319261320939,-0.0143222633884041,-0.0563493434121563,-0.0632525513497113,-0.0146870173655482,-0.0666459697054886,-0.0291036877128042,-0.0509778480424392,-0.0370278429570947,-0.0206716924716509,-0.0415933186377488,-0.0517831378570326,-0.0549789514932117,-0.0117154240514252,-0.0625637838060618,0.209206920156078,-0.0797484296241172,-0.0161232977638977,0.637372165246079,-0.0226711500584157,-0.0636643943163635,-0.00265072444274361,-0.0445611403457837,-0.0679283657306674,-0.0658366763944488,-0.0266060242014508,-0.0553139623124769,-0.0333649159006421,0.0613008289296908,-0.0214818660368464,-0.0504123473503561,-0.0733651610017819,-0.0628863628325823,-0.0540911033853329,-0.0937405792910581,0.73328237892651,-0.0346352509532763,-0.0572576997612097,-0.0639102844971169,-0.046820571222779,-0.0583623404036292,0.114425443908057
"Otu00057",-0.0474671962226711,1,0.483326691455168,0.00830572399306272,-0.0748921974402741,-0.103084460644364,0.36830359860349,-0.0374314311533388,-0.0171177553223342,-0.0984831736663436,-0.0631541497674089,-0.0505284972813202,0.471315095722438,-0.0171177553223342,-0.0468437285559152,-0.0947532782537913,-0.0366131512424973,-0.0589984899929118,0.329518677140592,-0.0692078099284837,-0.0601556005035238,0.369817804525739,-0.0588346021531258,-0.0493616541647183,-0.0557569691345762,-0.0606171111249208,-0.0652835312601449,-0.0687263591867851,-0.036360525141434,0.031324588532176,-0.0573603677607856,0.0663435589499448,-0.0283815598292837,-0.0555726080303893,-0.0911574134347076,-0.0567190701628792,-0.0545761244830787,-0.0256367230806099,-0.0309420319100851,-0.0899923781787393,-0.111172294388998,-0.0188902804639686,-0.0432101304845339,-0.0797465209931899,-0.112373830914794,-0.0622034983369984,-0.042660217480348,-0.0472139089057987,-0.0620820931109274,-0.0579256131395067,-0.0593346013896634,-0.0904598032644388,-0.0208795239442189,-0.0497898328456364,-0.0480129842923807,-0.0462754661726029,-0.0820778235729695,-0.0630930510567207,-0.122806481735086,-0.018547200810444,-0.0729718871563351,-0.0819114786428139,-0.0190195538929866,-0.0975742596748399,-0.0376890108564034,-0.0660158495125102,-0.0479507198184089,-0.0267696537178524,-0.0538629692965778,-0.067058692497367,-0.0902439797962786,-0.0151713675812731,-0.0810195309389246,-0.0855375035681413,-0.103273490959091,-0.0208795239442189,0.0347634371089452,-0.0293589331053351,-0.0824448115384406,-0.0273266980594486,-0.0577062714127144,-0.0879666157342159,-0.0852578970701448,-0.0529869359367611,-0.0836827523193539,-0.043207262598858,-0.020372889026546,-0.0278188211153156,-0.0652835312601449,-0.0950072161563722,-0.0814372678440396,-0.0700474868629018,-0.121393197503006,-0.00073585384341691,-0.0448523349368537,-0.0741482003658083,-0.0827632370858609,-0.060632213846288,-0.0755786999497581,-0.0361363758529678
"Otu00023",-0.0558830255075924,0.483326691455168,1,0.0190891908440423,-0.0392041233279158,0.0894310313863679,0.36866592928068,-0.000612054741773393,-0.0201526956179022,-0.0725261664898361,-0.059388264771143,-0.0594870884976284,0.515814341110119,0.0419497952185151,-0.0386693033039579,0.165766874009626,-0.0431045822719267,-0.0570053219234348,0.540744536240095,-0.035377716627751,0.124723748455791,0.285079182113563,-0.0692658474587097,-0.0303845425185512,0.00904689085319164,0.453728090686216,-0.0619972392346146,-0.0809113912155763,-0.0428071661198672,0.052685195734827,-0.0618868180631124,-0.00252448247792269,-0.0334135478414375,-0.043431138054532,0.179300446277804,-0.0667752363086748,-0.0642523510823408,0.0156069614013751,0.425426836261176,0.0449624272226197,-0.106062689656102,0.010625268738752,-0.0508711913955494,0.325817122255297,-0.132297463493283,-0.0317972457110713,-0.0502237800275867,-0.0555848309076179,-0.0730891114067039,-0.0441783630382806,0.198794251657607,-0.106498127033338,-0.0124614130516219,-0.0586174604853223,-0.0565255805992865,-0.0345824718944718,-0.0459449573493407,-0.0584360047668051,-0.0157499079658415,-0.0218355786409277,0.10075372790385,-0.0380426352665525,-0.0223916788840617,-0.0400674114099718,-0.0443711894244635,-0.0777203141493111,0.361059353516402,-0.0315158543286713,0.303962876217026,-0.0789480508972281,-0.106244038539892,-0.0178612176196835,-0.095384115228416,-0.0584458973926038,-0.121583653318216,-0.0245814175264871,0.0507192721235567,-0.0345642072454562,0.0672231465973149,-0.0208413639852252,-0.0679374661645709,-0.103562902848344,-0.100373934334445,-0.0623814029089194,-0.0928047438184655,-0.0508678150400633,0.0469705414857047,-0.0327510367936126,-0.0768581574846404,0.0480807330998623,-0.0958759159662244,-0.0824667519172467,-0.12909917917223,0.00670576930930354,-0.0528045550782739,0.0274816059089686,-0.0819396080373016,-0.0329872157299973,-0.0889786368950471,-0.033803192984031
"Otu00002",0.592352749131779,0.00830572399306272,0.0190891908440423,1,-0.0107893626703283,-0.107815478710158,0.0645283980158133,0.189356252375338,0.0302800617686667,-0.102016105739139,-0.00177052308907263,0.0250508093024511,0.0104526199670558,-0.0194090996853087,-0.0421260630684457,0.0528155401139188,-0.0415141056100815,0.049353265661079,-0.0292366878272034,0.026915930559545,-0.0682078943656318,-0.0157342765146634,-0.0667100701366834,0.0303108061737645,-0.0632204720598906,-0.0470747591079117,-0.004661279720805,0.221789144392515,0.280438722357712,0.368171960571625,0.409076889353355,-0.0771900652907758,-0.0321806518190147,-0.0532347463225299,-0.0960092526586039,0.37473733473074,-0.0618815621898637,-0.0290683973749172,-0.0350838629539982,-0.102038556229987,-0.126053568555524,-0.0538210487251144,-0.0489941417082456,-0.0821905628196996,-0.127415940067769,0.0557657747121771,0.324188090613256,0.360667202816633,0.0697718183303777,-0.065679405890936,-0.067276998150421,-0.0954955437342193,0.0894619540195685,-0.056454588280915,0.398800317261933,-0.0524697963614605,-0.0930645770828625,-0.0179829035993931,-0.1277918837759,-0.0210298875427703,-0.0827397404258071,-0.0817521572984415,-0.0215654687502999,-0.110635331390572,-0.0427339773806784,0.260737930363523,-0.0543692957057,-0.0303529795681262,-0.0610729456484279,-0.0760350187824966,-0.102323836676158,-0.0172021728434916,-0.0918646237686796,-0.012460733099727,-0.117097449001362,-0.0236744102240079,0.521410049945172,-0.0332888540913002,-0.0839555328978144,-0.0309845886168355,-0.0654307035721859,-0.0997416297647973,-0.0966703280911593,-0.0600796484264402,-0.0948843379942566,0.311870650039236,-0.00732979445795287,-0.03154258616201,-0.074022238440568,-0.107724669180004,-0.0923382779996775,-0.0794238864632881,-0.13764261885319,0.556603551923519,0.296334978736784,-0.0840735122851363,-0.0938417385124344,-0.0687483061022682,-0.0856954953373446,-0.0293183850568658
"Otu00046",0.214403552409127,-0.0748921974402741,-0.0392041233279158,-0.0107893626703283,1,-0.133978135451504,-0.0619291082950896,0.0553451893898985,0.13698559395999,-0.127997875709745,0.889850221590857,0.185010105929397,-0.01909848126195,-0.0222478240354142,-0.0608824586197322,-0.107348835992076,-0.0350586151311124,0.12555118053245,-0.0726907055501086,0.883823604526671,-0.0781838032817832,0.0844392791408495,-0.076466911183648,0.78111980802607,-0.072466933584194,-0.0787836253321615,0.893154747061745,-0.0893231569788423,-0.0472575141979289,0.240764614863868,-0.074550859298916,-0.0462615547514746,-0.0368873101082733,0.736093831467494,-0.118476637586518,-0.0737173694023792,-0.0586248031438965,-0.0333198654380742,-0.0402151373396238,-0.116962449605573,-0.144489835063399,-0.0616927750824087,-0.0561598972216242,-0.103645982378198,-0.141827915948653,-0.0808454414337321,-0.0554451792272648,-0.0613635793701164,-0.0806876519306257,-0.0752855046706845,-0.0771167566115597,-0.11756995864286,0.387212432736907,-0.0647114892720268,-0.0624021319289622,-0.0601438920686971,-0.102344002926473,0.895152497895495,-0.155940423916776,-0.0241056641019906,-0.0948410392844003,-0.10645976233509,-0.0247195780214916,-0.0994155434648837,-0.0489841375701906,-0.0858003269614699,-0.0623212072379325,-0.0347923272759189,-0.0700053155551109,-0.0871557025225044,-0.0941316366726672,-0.0197181178237993,-0.105300504290372,0.832369297288515,-0.134223816798165,-0.027136967780356,0.144119310511275,-0.0381575951575131,-0.10104808605481,0.00321883642901491,-0.075000427798781,-0.114329580660163,-0.110809078405929,-0.0238018691023422,-0.059918780707304,-0.0561561698511444,0.23631347682044,-0.0361559226307374,-0.0848485381720083,-0.123480198620651,-0.105843433955103,-0.0910402171606882,-0.153837561859559,0.0896476752956759,-0.058294258590706,-0.0963698851407696,-0.107566786685231,-0.0788032542309923,-0.0982290952081623,0.259303022718902
"Otu00003",-0.0796024592438114,-0.103084460644364,0.0894310313863679,-0.107815478710158,-0.133978135451504,1,0.138832623296517,-0.0526432904992322,-0.0287064652818241,0.678204809872005,-0.105909470813375,-0.0847362592603744,-0.0755045598207919,0.0436713413591387,0.411206440410388,0.358225677601427,0.0325527094203057,-0.0989404318948185,0.0854347776094805,-0.116061455227775,0.463440765957848,-0.0613419252317849,0.547020978351078,-0.0827794640623285,0.380420158637917,0.453537061224803,-0.109480442283754,0.15978404136825,0.0327320162098275,-0.0531217330783259,-0.0633074947252438,-0.0401479709270758,0.157210563256887,-0.0931952299238296,0.560182917438916,0.00680619531751236,0.0595190478686137,0.06373753172337,0.23718229243748,0.525542344832705,0.717529573384973,0.186154967385214,0.0834426599472884,0.51366346752374,0.162866567245237,0.21992091019642,-0.0271406144442931,-0.0791776965672098,0.202135297758975,0.555986289747506,0.502608729870709,0.379914277417683,-0.0350149489766164,0.342501689910704,-0.0805177455053172,0.374595731462895,0.5416755459362,-0.115254062626279,0.61985522742889,0.150137920345594,0.664146616131571,0.805653038870634,-0.0318957803300551,0.502701702987638,-0.063204448321797,0.255910224814107,0.358871128435172,0.0999882708408189,0.428930485270069,0.516484944710878,0.432861254206209,0.0625320691102995,0.213650187023918,-0.10650960224578,0.473720156155226,0.0921131896373488,-0.0493059832006243,0.0831771636139138,0.41949310231488,-0.0458268560531969,0.389048546302414,0.400451631777785,0.343076488807938,0.218397103767392,0.16603916239703,-0.0263052283241403,-0.0341653225273026,0.0474473531551941,0.314853847717561,0.663379873304686,0.431061604623839,0.531385614902729,0.413699617541779,-0.0410594254718344,0.0461560940520627,0.48429188607792,0.412082543843344,0.368170507485897,0.357646505537486,-0.00966971083456151
"Otu00213",-0.0367948792722963,0.36830359860349,0.36866592928068,0.0645283980158133,-0.0619291082950896,0.138832623296517,1,-0.014300502225228,-0.0132690740262676,0.0951842248046911,-0.0489548467395357,-0.0391678907798803,0.121272583561123,0.0287891516819913,-0.00840982697089357,0.223919163408474,-0.0283812103294734,-0.0457335273470427,0.289340911299516,-0.053647428406617,0.284445916943313,0.118710444047513,-0.0456064873329067,-0.0382633955701006,0.0972864152135114,0.301292628107394,-0.0506054674035905,-0.0532742249455729,-0.0281853835769084,0.041296272438493,-0.0253540060433593,0.0667043607384629,-0.0220003739546592,-0.0430779057126655,0.255965658261159,-0.0439666023097289,-0.0423054671711489,-0.000491357331708525,0.120823207386012,0.146438294656865,0.0398922831492497,0.0758101391903347,-0.0334949535898484,0.115832649486168,-0.0871081898850486,0.0920883524585203,-0.0330686806222106,-0.0365985399687949,-0.0481238266164331,0.131307428461014,0.233912693396477,-0.0701212164395962,-0.0161850630314588,-0.0385953044276925,-0.0372179547376981,0.0820385173315402,0.0221909773808964,-0.0532742249455729,0.0502191593560365,-0.01437712923801,0.101454423865099,0.077737441092832,-0.0147432805178227,0.09625253041806,-0.0292151783696735,-0.0511731344205821,0.198459592343661,-0.0207508817687258,0.0773542486259708,-0.0519815091463141,-0.0699539177767927,-0.0117603035985082,-0.0628034536864426,-0.0663056250948345,-0.0800539305933012,-0.0161850630314588,-0.0227908498870892,-0.0227579988947879,0.00865282688056232,-0.0211826826950371,-0.0447318455449675,-0.0681885862975628,-0.0660888840998689,-0.0410735848322729,-0.0648678880109096,-0.0334927305070542,-0.0157923376945028,-0.0215641589537737,-0.0506054674035905,0.187797832671285,-0.0631272684514687,-0.0542983160487839,-0.0629088440329372,-0.0189790192109354,-0.0347679319701192,0.195148246162474,-0.0510358355131108,0.0505096670412219,-0.0585859153585366,-0.0280116310348497
"Otu00015",0.466463395751582,-0.0374314311533388,-0.000612054741773393,0.189356252375338,0.0553451893898985,-0.0526432904992322,-0.014300502225228,1,0.100588947122669,-0.0599705690962793,0.0284112615261076,-0.00777320557662644,-0.0274167776115697,-0.0104237250904321,-0.0285251272426238,-0.0370439062438471,-0.0222952960864125,0.0382782396948035,-0.0213308250019021,0.0363401863538465,-0.0296957649519322,-0.022274123924927,-0.0358268772453455,0.0250163446610305,-0.0339527763535807,0.0114712140185472,0.0487959670774281,-0.0418503864051991,-0.0221414613704369,0.402056897689209,-0.0349291535815094,-0.0309433422926745,-0.0172827319778375,0.00984451231446965,-0.0390880127461827,-0.0345386403549879,-0.0332337101097925,-0.0156112848080699,0.0448616945355598,-0.0461539164628059,-0.0676975113011182,-0.0289047830700766,-0.0263124757195712,0.00660429993707681,-0.068429177702184,-0.0378783405953956,-0.0259776104366326,-0.0287505457118334,-0.0378044118192637,-0.0352733553956772,-0.0258700451138793,-0.0550847995667286,0.0233945421504293,-0.0303191347293255,-0.0292371365059776,-0.0281790882467776,-0.0499806576759128,0.0837007728103981,-0.0683850403748926,-0.0112941748964516,-0.0337409817430262,-0.0498793632135561,-0.011581810663252,-0.0594170929307496,-0.02295043250121,-0.0401998424426543,0.0139912934124794,-0.0163011741823931,-0.00951183753007118,-0.0408348736358183,-0.0414992732452466,-0.00923848728616599,-0.0493362185380242,0.0108607776734403,-0.0628875958684979,-0.012714425081755,0.204549801048336,-0.0178778958967307,-0.0395638534094183,0.0171158215250576,-0.0351397889427228,-0.0535665922478035,-0.0519171389071099,-0.0322659860004249,-0.0509579666587217,-0.0263107293427062,0.0580596759093099,-0.0169400565778396,-0.0397539028905565,-0.0578539115773644,-0.0495905962047832,-0.0426548769149585,-0.0739214514282068,0.196802236102481,-0.0273124834560372,-0.0451519747776175,-0.05039803494864,-0.0369215190226129,-0.0460230664671695,-0.0220049673898774
"Otu00007",0.290178871733075,-0.0171177553223342,-0.0201526956179022,0.0302800617686667,0.13698559395999,-0.0287064652818241,-0.0132690740262676,0.100588947122669,1,-0.0274251209932612,0.0939012926380782,-0.0140709331346564,-0.0125379574443505,-0.00476687025175033,-0.013044816445233,-0.0263864376408337,-0.0101958544326767,-0.0164296160068639,-0.0155748787528157,0.106907963523385,-0.0167518425819702,-0.0101861721985546,-0.0163839773087175,0.00593073226173906,-0.0155269328536664,-0.0168803618422691,0.108366129534197,-0.0191385862777902,-0.0101255043299151,0.350796138799154,-0.0159734395988003,-0.0189578616180626,-0.00790356040852889,0.0937768169565996,-0.0253850784840615,-0.0157948541251553,-0.0151980969090482,-0.00713919145963448,-0.00861658837058208,-0.0250606450639465,-0.0309587263611781,-0.0132184367253237,-0.0120329495136684,-0.0222074279860185,-0.0312933244795271,-0.0173221313305351,-0.0118798123825818,-0.0131479024903607,-0.0172883229865281,-0.0161308464158758,-0.0165232146936239,-0.0251908113558455,-0.00581442950236269,-0.0138652334118725,-0.0133704251644775,-0.0128865694672156,-0.0228566379265812,0.0645927286875418,-0.0341985589513192,-0.00516493536282707,-0.020320860507088,-0.022810314989715,-0.00529647397960804,-0.0271720109922177,-0.010495454648477,-0.0183837765676336,-0.0133530860529452,-0.00745468453978859,-0.0149995008794054,-0.0186741824712204,-0.025130709873459,-0.00422484954596715,-0.0225619296789237,0.0773835615818816,-0.028759105535583,-0.00581442950236269,-0.00818753623077283,-0.00817573462218797,-0.022958834971837,-0.0076098075714513,-0.0160697651857305,-0.0244965204721367,-0.023742209513896,-0.0147555473186834,-0.0233035707722293,-0.0120321508786455,-0.00567334424485805,-0.00774685163540937,-0.0181798440994869,-0.0264571530477787,-0.0226782590450441,-0.0195064875650476,-0.033804994349167,0.0183947974733796,-0.0124902627187964,-0.0206484345575047,-0.0230475085882553,-0.0168845675755473,-0.0210467932081261,-0.0100630843130951
"Otu00049",-0.0760493169287872,-0.0984831736663436,-0.0725261664898361,-0.102016105739139,-0.127997875709745,0.678204809872005,0.0951842248046911,-0.0599705690962793,-0.0274251209932612,1,-0.101182086435008,-0.0809539641999576,-0.0721343317018989,-0.0120201875239452,0.374618820574556,0.249472283851401,0.0504149655132763,-0.0945241181455724,-0.068413816897134,-0.110880925987466,0.342487476408456,-0.0586038617059014,0.55522834755913,-0.0790845126830751,0.250334808807209,0.205015080083939,-0.104593663711317,0.15471091794702,0.0414701299654531,-0.0458906627542648,-0.0289047044025463,-0.00404327517864416,0.186106433472579,-0.0890353595109502,0.318823866981,0.0112152346580469,0.0733017275719362,0.0441132768019736,-0.0389656363330646,0.395736785363733,0.691536240647384,0.136065539105674,0.148535385230796,0.232026399162647,0.255124505109256,0.208686246588012,-0.0210966560133376,-0.0756435139960731,0.245067719198622,0.622113795593203,0.289399486658063,0.308983215221965,-0.0334520186595244,0.299777958848851,-0.0769237483928784,0.45644931426703,0.346264712871548,-0.110109572232564,0.538259698017443,0.163162488439316,0.533112528759627,0.737830830310739,-0.0152574677761633,0.566040579085325,-0.0603832490527883,0.234733475443138,0.146131712052174,0.111293874278216,0.175459981124025,0.517994504699153,0.404311150404103,0.0693159262139439,0.301330512685502,-0.0780811838612231,0.495446376322672,0.101838107438173,-0.0471051570332137,0.164332702747841,0.248854468414528,-0.0437813245086448,0.37839739697957,0.335619831342941,0.291006089557722,0.143995278243635,0.234500999253919,-0.0201077875176887,-0.0326403162105204,0.0680887967620938,0.411495200667184,0.552310354842636,0.358116134250793,0.523977289832107,0.508115200344325,-0.0392266933746047,0.0573060207440224,0.386563662723806,0.367150535397974,0.387001323956218,0.262666603957963,-0.0145349971939032
