"","Otu00001","Otu00057","Otu00023","Otu00002","Otu00046","Otu00003","Otu00213","Otu00015","Otu00007","Otu00049","Otu00083","Otu00203","Otu00207","Otu00018","Otu00028","Otu00013","Otu00300","Otu00033","Otu00171","Otu00073","Otu00108","Otu00075","Otu00014","Otu00101","Otu00005","Otu00027","Otu00154","Otu00077","Otu00036","Otu00035","Otu00006","Otu00050","Otu00559","Otu00056","Otu00022","Otu00009","Otu00393","Otu00024","Otu00189","Otu00012","Otu00011","Otu00162","Otu00346","Otu00090","Otu00111","Otu00048","Otu00194","Otu00119","Otu00020","Otu00039","Otu00044","Otu00081","Otu00275","Otu00184","Otu00099","Otu00059","Otu00040","Otu00160","Otu00010","Otu00512","Otu00008","Otu00004","Otu00107","Otu00053","Otu00078","Otu00110","Otu00091","Otu00491","Otu00069","Otu00079","Otu00037","Otu00029","Otu00178","Otu00038","Otu00041","Otu00092","Otu00234","Otu00514","Otu00058","Otu00047","Otu00067","Otu00043","Otu00085","Otu00054","Otu00122","Otu00068","Otu00088","Otu00126","Otu00096","Otu00031","Otu00034","Otu00131","Otu00061","Otu00324","Otu00285","Otu00045","Otu00032","Otu00120","Otu00264","Otu00607"
"Otu00001",NA,0.171257423762306,0.107177606365005,7.37932204599723e-05,5.70374689701225e-08,0.0243168803580769,0.249837802389713,0,4.37427871702312e-14,0.0267131000335117,7.32569520822679e-07,2.86206832722513e-06,0.318912634816328,0.67198648466429,0.238147100037926,0.0430933718835096,0.527749541078842,0.00138886732571031,0.197058035518265,3.574918139293e-14,0.19721158106964,0.352525794060391,0.135103647394633,8.34200197807888e-09,0.179234456379308,0.179502783983573,2.98856495106747e-11,0.102128019629038,0.371050420317575,0,0.227254909109704,0.397169310855915,0.486101230221455,3.68080854684649e-09,0.040853489788099,0.238340254702132,0.197060250617556,0.515313149911142,0.486108313504262,0.0387259052000339,0.0126899392751683,0.249837992845011,0.318897542981657,0.0632591040357764,0.00981705796445098,0.129185553088734,0.318898800670617,0.303533960177681,0.155809228662229,0.17933521968286,0.188096751280695,0.0350845078452018,4.68735772418682e-08,0.227080038815972,0.318912634816328,0.262162373314355,0.0522261051871324,9.57542933832656e-11,0.00437926203669492,0.671987308788458,0.0802106007026357,0.0660590151729989,0.62438720864571,0.0798008874754506,0.352544279268208,0.129277208166001,0.249966330522064,0.547550279241388,0.227206525322707,0.122994495539082,0.368133898080445,0.729928788449798,0.0732137696483948,4.55854217484841e-07,0.0215310011339915,0.583527543234208,0.0188479778398025,0.486101672935108,0.0601400193857411,0.412982448603211,0.155677406881941,0.0451308115880462,0.0576284571167838,0.726689734735965,0.144986614034358,0.371095616525232,1.25337940026782e-09,0.486095032111615,0.10667992243698,0.0334106453831915,0.06636149267999,0.107087883675858,0.00520457215033865,6.43057599303276e-06,0.303508337762641,0.0731621793760306,0.0630591751050973,0.179474125387239,0.102319661290974,0.0562342793493684
"Otu00057",0.171257423762306,NA,0,0.987121482457064,0.0528656481357861,0.00592529401981157,2.9763391751203e-10,0.295130390765255,0.605497851163942,0.0067842429081022,0.0682323956458191,0.150078980839925,0,0.605497851163942,0.149988665920631,0.0134784233499905,0.340664829065261,0.131659933436884,0,0.0490724829041738,0.115523405031138,0,0.0681393004484239,0.160299388008883,0.101147274576855,0.10135816173546,0.0683065647471799,0.0459649623027321,0.27509911561244,0.020189595474813,0.140598059778745,0.487286241588914,0.395469585308797,0.115420155119265,0.0124867899100531,0.150156558300194,0.115400343794251,0.427380532254139,0.395477263993115,0.011565724566226,0.00231367600241139,0.577076693579727,0.223911006666153,0.0233122693666399,0.00159375473541812,0.0639882263185196,0.223912211255906,0.209311123458201,0.0831954516820717,0.101226454184861,0.108172382916409,0.0100385290158198,0.503626281700392,0.140448548749447,0.223925461428732,0.171212868497509,0.0177398842411494,0.13457267172633,0.000491047021340396,0.605498813555134,0.0326618458756909,0.0247938492904709,0.550307274215547,0.00512665598402529,0.256661678043429,0.0640519736282341,0.160347333642723,0.463129377759217,0.140556688477756,0.0597226258702859,0.0134568261308943,0.673677447458932,0.0286950151473353,0.0107229841809344,0.00497169923801488,0.503626281700392,0.719044381029261,0.395470065234895,0.021693013349334,0.395462866226847,0.0830970948953293,0.0143993615871367,0.0204137936823965,0.131555967482326,0.0123437923127572,0.275144493530617,0.550309675221032,0.395462866226847,0.0488807555368642,0.00935826599749467,0.0249554586527552,0.0491444886795844,0.000632042935004407,0.544603132112399,0.20928697002913,0.0286663113609353,0.023207480137724,0.101335632562078,0.0460867165172449,0.31689428873006
"Otu00023",0.107177606365005,0,NA,0.992610595082203,0.320965446032428,0.111939745504133,0,0.825905906459292,0.543241990216011,0.0682582902868238,0.282299322297888,0.0901141199610056,0,0.000958124081783307,0.329620399054737,0.0130348316214501,0.262000160953866,0.254225258568036,0,0.211156655767787,5.88065533264626e-05,0,0.031658302606925,0.778760591151971,0.517470241667993,5.11552509241398e-08,0.11636521578797,0.0187080583349508,0.198839485181895,0.0240670573854747,0.265642142659204,0.943371428728735,0.317192556562055,0.537195556424915,0.0186269713621954,0.0901754019721126,0.0637220457508896,0.130046913906391,8.12683254025615e-14,0.789969381571621,0.00625690995556138,0.25528361054956,0.15217244062397,0.00857667638028525,0.000194732129775055,0.30381098954148,0.15217350737963,0.139361792140568,0.0412945424529239,0.194984294211936,3.60999562332154e-06,0.00240191920724886,0.571898008834868,0.0825804609389464,0.152185241517856,0.376311376550294,0.077932714898129,0.353444112828944,0.979400040479378,0.543243066339461,0.231965035317671,0.268027070528148,0.482042302519865,0.0215023260078118,0.181735514528091,0.029151718193515,6.78447653612579e-09,0.387801182509506,4.52183392951611e-08,0.0265522096314363,0.00357396067889471,0.620164184079122,0.00993727516260279,0.101178503648352,0.000923278655262427,0.431170120703152,0.0361820791567722,0.31719304826819,0.0777218749179109,0.943537700589957,0.0412296655919677,0.00391711310249643,0.00627927815970519,0.0757589563343057,0.0114612817162574,0.198881965015735,0.409895310001569,0.317185672571282,0.0203138858727576,0.515668962793406,0.00823365502145634,0.0204607133211621,0.000829210283937787,0.14262708156459,0.139340799464741,0.62113332168479,0.0294046661911529,0.1974451625126,0.0187744611878291,0.786573741519033
"Otu00002",7.37932204599723e-05,0.987121482457064,0.992610595082203,NA,0.609319931948142,0.00529132640388386,0.57301686804389,0.0590369892919904,0.149182431179835,0.00649494999699574,0.355053682903562,0.0599673505935354,0.312686031525065,0.54876557255876,0.325830444525089,0.00307946834072603,0.26858368522516,0.322747636041655,0.952185562597246,0.657170801194502,0.0675410697913081,0.695810566674486,0.0340766381550139,0.884070191145869,0.0568836624147966,0.209079441277415,0.349887751783006,5.79953862711591e-11,4.44047021375127e-10,3.68245591286787e-05,0,0.0264325974497606,0.323856456615977,0.230447971598016,0.0131415451110319,0,0.0674482096619804,0.356811068855797,0.323864322063002,0.00332640512652693,0.000392835165504035,0.102910310685311,0.157865170277984,0.0301786922011877,0.000238899062385389,0.211731456771673,0,0,5.19918275720954e-06,0.0569412685951072,0.0620426477766871,0.0100781775786503,0.0249623971312172,0.0868785526841267,0,0.112039321055115,0.00584890707674246,0.415749592064411,0.000284189397785628,0.548766639299142,0.0130444957624638,0.0336140016574293,0.488050107992292,0.00113224804369016,0.187789514895686,5.16746645473631e-10,0.103003781444885,0.394322442413301,0.0869646208634691,0.028703301739065,0.00406284266965473,0.624950396427691,0.0110072648316624,0.469969447240626,0.00108703149078027,0.437494785518059,0.171824958844359,0.323856948214007,0.0278673017941293,0.323849574137253,0.0440964250240907,0.00444249513291517,0.0070364101424909,0.0798629357208815,0.00362515593162804,0,0.378405923265174,0.323849574137253,0.0221044225645222,0.00251399885552006,0.00916345358294657,0.0222602410448063,6.93020811244338e-05,0.0968398773009955,0,0.0109928189623845,0.00832940863441545,0.057020720600776,0.020469067664038,0.830939276192437
"Otu00046",5.70374689701225e-08,0.0528656481357861,0.320965446032428,0.609319931948142,NA,6.10259673734515e-05,0.0416899479114348,0.0706752924375476,1.9505346656068e-05,8.04636792679503e-05,0,8.61533067109121e-13,0.689199661898586,0.45440909349906,0.0368032022008538,0.0114512812590581,0.658189899684114,0.00323122154882061,0.0223596805147261,0,0.0224059407512669,0.436453640527391,0.00809095354381206,0,0.017369117255799,0.0174387420551769,0,0.00374437555684093,0.113682517489124,0.00245374852895242,0.032564306937003,0.0719338634604858,0.218265846151795,0,0.000277781863739612,0.0368810933897947,0.0920555059950492,0.250205793316665,0.218273335768702,0.000237906404370714,8.81305965005907e-06,0.041690030389733,0.0778776438678945,0.000974133263469623,1.69386899282475e-05,0.00715850352126246,0.0778784188336998,0.0687283854325926,0.0119184315866381,0.0173952435253817,0.0197571193582557,0.000178568650029298,1.65978610855433e-07,0.032498701066018,0.0778869434720304,0.0472244120864012,0.00208823325212881,0,1.4976740283501e-06,0.454410298015666,0.00190634311463134,0.00110166155115232,0.386953299802478,0.000239871784810886,0.100137168853736,0.00717241553121006,0.0417456294512828,0.287836495760713,0.0325461471473973,0.00625666974075423,0.00149923999312529,0.541951872979587,0.00147397654711945,0,4.26101978647786e-05,0.332654468932416,6.96153288348711e-08,0.21826631425815,0.00321084954662498,0.89027394763034,0.0118911954017151,0.000370369749934651,0.000746904530840808,0.125514435746475,0.00565133425502529,0.113716727868655,0.0285821799995409,0.218259292588646,0.0042256489798731,0.000154867278090443,0.00111603574087216,0.00427055010593147,2.56433793888178e-06,4.4666617649014e-07,0.0687136564497017,0.00147104485688843,0.000965404102290846,0.0174312978900883,0.00376391471675896,0.214884092253103
"Otu00003",0.0243168803580769,0.00592529401981157,0.111939745504133,0.00529132640388386,6.10259673734515e-05,NA,1.56803981887776e-06,0.306201615690028,0.396131236033759,0,0.00263960483182668,0.0178044891162252,0.0454032793140207,0.0107535127187139,1.39399602971935e-12,1.28075328120758e-12,0.362467663038406,0.0130361450665588,0.0357348076830348,0.00116500024549371,0,0.0620570620220393,6.77236045021345e-14,0.0208083776037107,0,0,0.00264668519348832,1.27545126016315e-07,0.884082549525371,0.0214167909263074,0.462709067675685,0.157372624226605,0.0247940989983837,0.00950650033794975,0,0.68840018306913,0.351782742700878,0.0960467567810217,2.10398187761029e-09,0,0,2.35322872299548e-12,0.978709064953669,0,0.000123863727567564,4.37427871702312e-13,0.212310276014137,0.038846304821708,0.776350413891812,7.94919685631612e-13,0,2.22044604925031e-16,0.271780692930755,0.00185404566771941,0.0454032793140207,2.22044604925031e-14,0,0.000706497236082848,0,0.0257434477273735,0,0,0.326404334531724,4.5329617659462e-07,0.0620671240689434,0.0409429645218191,0,0.317608424291977,2.39471775742572e-10,1.87211717683766e-07,8.8484775062625e-13,0.154392342246974,0.439287082601386,0.000140425089510954,1.29282242689044e-07,0.00842612049154345,0.137833862602124,0.0253973026226166,0,0.162478058084748,0.00055695651848664,7.79456055255423e-08,2.44249065417534e-15,5.65839730626294e-09,0.069723891933545,0.330504347772194,0.326407250263557,0.488049599576779,0.918788113275886,0,0,1.33226762955019e-15,4.2928771648576e-11,0.192064067866868,0.192282231552971,0,2.88657986402541e-15,0,0,0.570509803291483
"Otu00213",0.249837802389713,2.9763391751203e-10,0,0.57301686804389,0.0416899479114348,1.56803981887776e-06,NA,0.742507139975091,0.66387380792961,0.00255584263064534,0.125221898471485,0.226096503730376,1.13148600231483e-05,7.82445778102492e-06,0.807343702731422,4.26868673741865e-09,0.422793133498753,0.204835159641902,0,0.0980212288383244,0,0.000217932495873541,0.125094646299818,0.237640069822,8.32181750709537e-06,0,0.12532325058483,0.0933826080215758,0.358577243407126,0.370410930445477,0.627538951907536,0.156293969782712,0.474689739079781,0.185523968586155,5.06487718432425e-09,0.226184768977089,0.18550004560652,0.356302501988397,7.31690508182226e-08,2.00576660716045e-05,0.0623251322958012,5.65064077773236e-06,0.30630825982535,0.00598221924840714,0.00802903420253331,0.000218124546039533,0.306309516962494,0.29096459043759,0.145178035125306,5.29826820105939e-06,0,0.0305246599457554,0.573655592598263,0.215058009707826,0.306323345049824,0.000164275683921522,0.0878605726641069,0.0845492140340336,0.00386258352650293,0.663874649727215,1.92780837453554e-05,0.000779223599628898,0.615291652540798,0.0146691678962207,0.339999442068404,0.119465306701414,0,0.537054178453299,0.000836855327751795,0.113406944799416,0.0378154801400865,0.723107812867256,0.0659337977719332,0.0320308422032523,0.0182988432482207,0.573655592598263,0.447632242864674,0.474690187626061,0.232446080147211,0.474683459312834,0.145049813266018,0.0397363888296713,0.0513251930150871,0.204713322289278,0.0355013053068656,0.358622653000403,0.615293780359806,0.474683459312834,0.0977371734661472,0.000255930948135585,0.0594920237777781,0.0981278390812446,0.287010030451825,0.504303884635098,0.29093902370228,8.36663746262012e-06,0.200852579805936,0.254169917728742,0.0935657775761891,0.39981309801639
"Otu00015",0,0.295130390765255,0.825905906459292,0.0590369892919904,0.0706752924375476,0.306201615690028,0.742507139975091,NA,0.00434008301176525,0.090277459343449,0.063035962090606,0.766399388332908,0.445539590177457,0.745811981416536,0.366639427599134,0.487814985470547,0.549937633456846,0.0151581206387865,0.924133639441866,0.0125201048581314,0.956297463539811,0.476698782032508,0.252912105840506,0.105455298306794,0.304053954328013,0.906232559991102,0.0046223998341981,0.211107242712489,0.493535336665734,0,0.355451756877273,0.775586571751338,0.593895246154013,0.210260100920866,0.464688766007763,0.366836453768845,0.323567723546891,0.618453060111435,0.15149132947667,0.395280172282941,0.056816057608583,0.378482740412361,0.44552540871703,0.631495720831425,0.0484812461244672,0.245676865793759,0.445526590546221,0.430992070279964,0.277472272067538,0.304165881646153,0.969719220100032,0.107101621069687,0.037192807145312,0.355270875647205,0.445539590177457,0.390795970108839,0.137640341228091,0.00128575672770492,0.107672540672967,0.745812636133154,0.627688105521835,0.159771667230037,0.707767581148576,0.0799563979370523,0.476715695478861,0.245789719859512,0.698888051835649,0.645211205216569,0.784154324937901,0.237992921767918,0.414852588609853,0.791548661536663,0.170586722135228,0.136566386616376,0.0789028807218684,0.674698108618028,0.00118046835346908,0.593895620752413,0.523558301488244,0.148216496339107,0.277319301281881,0.12550524887806,0.146498708825794,0.344345768583675,0.11727133384016,0.493576145438642,0.0147354008197649,0.593890001667982,0.217114672635137,0.103863333995372,0.160236719937461,0.217648931057542,0.0328171732006797,0.0962236595337207,0.430967667162377,0.170510061079912,0.15511930441998,0.304320145655643,0.211361916986121,0.530036588764377
"Otu00007",4.37427871702312e-14,0.605497851163942,0.543241990216011,0.149182431179835,1.9505346656068e-05,0.396131236033759,0.66387380792961,0.00434008301176525,NA,0.403763748786547,0.000884271078914756,0.656057077300864,0.706566553680659,0.872869661056783,0.655985954233093,0.445692864832412,0.767939288748012,0.640894023894024,0.626221644261864,5.01167285449355e-07,0.626339696918957,0.72544279040711,0.572759481579086,0.0487375374943866,0.612104725387179,0.612323679381066,0.000552796277550449,0.537366820879128,0.735428897352619,0.000108169328495666,0.648423944574142,0.55478529411914,0.792418127919525,9.8941063536806e-05,0.440738744713974,0.656118146141621,0.626223347737637,0.805817927896075,0.792421420898728,0.435847267895307,0.348023301884139,0.663873934611749,0.706557837417941,0.48360452791636,0.331054097400825,0.566870625165327,0.706558563802807,0.697561313678543,0.592118938741926,0.612186972134329,0.619229394524837,0.427001456378862,0.835878606169671,0.6483007637928,0.706566553680659,0.671954416548593,0.464157404288208,0.00453765375391368,0.283877718246459,0.872869997300536,0.509268152676134,0.488151582533614,0.853203765004222,0.388179588487335,0.725452893930842,0.566963175660669,0.663959285859044,0.820220703328086,0.64838986821746,0.560515264984003,0.445588113043898,0.896197892913793,0.499185218075561,0.000104137072445276,0.386521120048292,0.835878606169671,0.779828580161693,0.792418333735315,0.478368499452035,0.79241524643419,0.59200116757573,0.450040105971111,0.474010631134675,0.64080437257397,0.439998661731789,0.735452932119153,0.853204638549705,0.79241524643419,0.542671385285575,0.42270912031324,0.488634620521817,0.543139254032138,0.293248165101252,8.53214687301929e-05,0.697546097610686,0.499108424955395,0.483274451717155,0.612300304026492,0.537593353463156,0.756622145804046
"Otu00049",0.0267131000335117,0.0067842429081022,0.0682582902868238,0.00649494999699574,8.04636792679503e-05,0,0.00255584263064534,0.090277459343449,0.403763748786547,NA,0.00309649924656741,0.0197359994404875,0.0489983275354762,0.541503097423282,1.2286551331897e-08,0.00020049057775795,0.070466301020462,0.0145822879260886,0.122409537386175,0.00140109046933712,3.19901882761542e-11,0.0663878576710564,4.44089209850063e-14,0.0229618177090805,0,8.73519034882975e-11,0.00310455374931196,1.01948808506336e-07,0.930583992087989,0.0244640625009911,0.979157960308779,0.207650915564952,0.000981867428261785,0.0107331273541487,2.70894418008538e-14,0.995301799197486,0.0355462712163699,0.890484657658152,0.623084870052329,4.44089209850063e-16,0,9.78014456087806e-08,0.0428620870880851,5.96232527572127e-06,1.05602571132124e-08,1.50865986370263e-11,0.226779156453797,0.0421072430500073,0.453716544275241,3.54497764476491e-10,1.94753990712115e-10,2.3196999876518e-12,0.279562246730706,0.0269426142541167,0.0489983275354762,0,0,0.00086282743935584,0,0.0190825921730888,1.18371978885534e-12,0,0.773247919465764,8.88178419700125e-16,0.0663983227801328,0.125573292163889,1.08484284444543e-07,0.275697793899904,0.00108172677490614,1.97112663968824e-07,4.44089209850063e-16,0.146100205206229,0.771585025244681,0.00688869281669602,3.46781554583231e-08,0.00610834309812391,0.14428545435175,0.000927031063702177,0.00020476450212481,0.169346467442658,0.00933189183145311,4.57547080667808e-07,7.92179655206837e-11,3.77267125446501e-05,0.257852870749808,0.348600502149928,0.33424222974742,0.0999025560001461,0.00784557533152874,0,2.76667577736589e-13,1.33226762955019e-14,4.88498130835069e-15,0.199313114714155,0.206158337680831,0,1.30930821740094e-11,0,6.18358697579424e-11,0.510242886489671
