"","Adaptive Lasso Coefficient"
"f__Prevotellaceae",5.0035297189426
"f__Paraprevotellaceae",-0.1931740467896
"g__Paraprevotella",-0.193475213483939
"g__Blautia",-0.189348106448204
"s__symbiosum",-0.193402033901498
"s__ramosum",-0.193821617991482
"f__Microbacteriaceae",-0.182360738968116
"s__hathewayi",-0.208374019731507
"g__Staphylococcus",-0.192038759983206
"s__adolescentis",-0.194943609388287
"s__citroniae",-0.194959586583435
"s__distasonis",-0.212048617636957
"s__stutzeri",-0.185571828113318
"o__Alteromonadales",-0.193210645280568
"s__fragilis",-0.193428595225005
"c__Gammaproteobacteria~f__Enterobacteriaceae~o__Enterobacteriales",-0.193401550603052
"f__Myxococcales 0319-6G20~s__Myxococcales sp",-0.193321638745721
"c__Lentisphaeria~o__Victivallales~p__Lentisphaerae",-0.193375986807277
"g__Streptococcus~f__Brevibacteriaceae~s__Brevibacterium sp~c__Bacilli",-0.193407138513189
"c__Coriobacteriia~o__Coriobacteriales~f__Coriobacteriaceae",-0.19045381892139
"g__Erysipelotrichaceae cc_115~s__Erysipelotrichaceae cc_115 sp",-0.161390628343493
"s__Desulfovibrionaceae sp~g__Desulfovibrionaceae unidentified",-0.191926910883758
"s__Sphingomonas sp~g__Actinomyces~s__Actinomyces~s__Roseburia sp",-0.194295452071569
"s__Tepidimonas sp~g__Tepidimonas",-0.19336246807813
"g__Rothia~s__mucilaginosa",-0.19170910819583
"g__Shewanella~f__Shewanellaceae",-0.193363237864413
"s__Parvimonas sp~g__Parvimonas",-0.193364360389654
