"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi","g__Staphylococcus","s__adolescentis","g__Rothia","s__citroniae","s__mucilaginosa","s__distasonis","g__Actinomyces","s__Actinomyces","s__stutzeri","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis"
"c__Gammaproteobacteria",1,0.98882025124612,0.98882025124612,0.147441956154897,-0.10737093710539,0.574037847881928,0.698395390834612,0.00468956702499546,0.00468956702499546,0.00468956702499546,0.0917158507896555,-0.0989836039765722,-0.0989836039765722,-0.0989836039765722,-0.180760618336512,-0.364620318795611,-0.159612190048449,-0.159612190048449,-0.13692562510195,-0.165441921867316,-0.165441921867316,0.137865477903731,0.137865477903731,-0.201898835393846,0.0510727861575991,0.54484575812493,0.169612680075782,0.54484575812493,-0.213935173759818,0.474685748924718,-0.194601781852102,0.212217182115315,-0.286455387803688,0.212217182115315,-0.113089740777541,0.189038506339567,0.189038506339567,-0.0623904675683941,0.112056191592944,0.153823400588047,0.153823400588047,0.416212587591691,0.0510727861575991,-0.0894203668019792,-0.0894203668019792,-0.148544753541397
"f__Enterobacteriaceae",0.98882025124612,1,1,0.158709772014547,-0.0941911973849869,0.586219456154428,0.711951972879658,0.021745029724268,0.021745029724268,0.021745029724268,-0.00225014162274521,-0.182007952097704,-0.182007952097704,-0.182007952097704,-0.163371729000518,-0.351792888366137,-0.145377760063142,-0.145377760063142,-0.119990382705041,-0.148150760460097,-0.148150760460097,0.011415495362168,0.011415495362168,-0.197616600482011,-0.0471221768035259,0.532638061146435,0.172691860106668,0.532638061146435,-0.194856146955197,0.404820297487591,-0.21231718173378,0.233766067264727,-0.270321209045916,0.233766067264727,-0.101493919269133,0.114786531901632,0.114786531901632,-0.0522681341636459,0.104272022592862,0.165578899483561,0.165578899483561,0.348914630797609,-0.0471221768035259,-0.0814457381090399,-0.0814457381090399,-0.130566656483693
"o__Enterobacteriales",0.98882025124612,1,1,0.158709772014547,-0.0941911973849869,0.586219456154428,0.711951972879658,0.021745029724268,0.021745029724268,0.021745029724268,-0.00225014162274521,-0.182007952097704,-0.182007952097704,-0.182007952097704,-0.163371729000518,-0.351792888366137,-0.145377760063142,-0.145377760063142,-0.119990382705041,-0.148150760460097,-0.148150760460097,0.011415495362168,0.011415495362168,-0.197616600482011,-0.0471221768035259,0.532638061146435,0.172691860106668,0.532638061146435,-0.194856146955197,0.404820297487591,-0.21231718173378,0.233766067264727,-0.270321209045916,0.233766067264727,-0.101493919269133,0.114786531901632,0.114786531901632,-0.0522681341636459,0.104272022592862,0.165578899483561,0.165578899483561,0.348914630797609,-0.0471221768035259,-0.0814457381090399,-0.0814457381090399,-0.130566656483693
"f__Prevotellaceae",0.147441956154897,0.158709772014547,0.158709772014547,1,0.177135841470683,0.0162221421130763,-0.0436790286823839,0.584438760387604,0.584438760387604,0.584438760387604,-0.0863954395470172,0.0694489101815279,0.0694489101815279,0.0694489101815279,-0.0467534044644403,-0.134400832642618,-0.0869900257155441,-0.0869900257155441,-0.246679236468456,0.140260213393321,0.140260213393321,-0.0701286873318277,-0.0701286873318277,-0.0919709009227449,-0.167010664280671,-0.223507483155806,-0.0639093980886785,-0.223507483155806,0.071594355761661,-0.151641956657344,-0.116457661749275,0.145549917019725,-0.358499309115421,0.145549917019725,-0.0371134809512603,-0.240397786783512,-0.240397786783512,-0.0373370063691462,-0.108571724005093,-0.195615199108988,-0.195615199108988,-0.143536836212404,-0.167010664280671,-0.113714706536836,-0.113714706536836,-0.261557187173593
"f__Paraprevotellaceae",-0.10737093710539,-0.0941911973849869,-0.0941911973849869,0.177135841470683,1,-0.0670488651853246,-0.0899798574476564,0.048828142255653,0.048828142255653,0.048828142255653,-0.174122426406576,-0.14215518655551,-0.14215518655551,-0.14215518655551,-0.0355806526816899,-0.0507887031136225,-0.10386842057969,-0.10386842057969,-0.126232120806092,0.240476135365904,0.240476135365904,-0.0897166403015836,-0.0897166403015836,-0.141191638689983,-0.0854636598166996,0.0158364744415193,-0.13647666482256,0.0158364744415193,-0.139219370388495,-0.163463184815973,-0.126065047225737,-0.10838033879985,-0.119267427370226,-0.10838033879985,-0.0854636598166996,-0.164023654887299,-0.164023654887299,-0.0543794923387142,-0.12073386873038,-0.100101337262697,-0.100101337262697,-0.198224873877121,-0.0854636598166996,-0.058190745108872,-0.058190745108872,-0.133845551501132
"f__Myxococcales.0319.6G20",0.574037847881928,0.586219456154428,0.586219456154428,0.0162221421130763,-0.0670488651853246,1,0.859728458251409,-0.0773946826726354,-0.0773946826726354,-0.0773946826726354,-0.0224243055720544,-0.135193210867562,-0.135193210867562,-0.135193210867562,0.0404501531462551,0.0872107762897728,-0.131708692227253,-0.131708692227253,-0.0282470515082572,-0.161800612585021,-0.161800612585021,-0.11376375321004,-0.11376375321004,-0.159142936003885,-0.108370829214413,0.49310474109217,-0.0725723136708994,0.49310474109217,-0.157952278657733,0.317902183355127,-0.234259899642609,-0.228242705715909,-0.165088759068413,-0.228242705715909,-0.108370829214413,0.0623962729739382,0.0623962729739382,-0.0969097957435397,-0.158513934264508,-0.126931902376948,-0.126931902376948,0.256132245104886,-0.0602060162302293,-0.0737878451914923,-0.0737878451914923,-0.0565735714803536
"s__Myxococcales.sp",0.698395390834612,0.711951972879658,0.711951972879658,-0.0436790286823839,-0.0899798574476564,0.859728458251409,1,-0.110214906775147,-0.110214906775147,-0.110214906775147,0.00134174893582269,-0.164480993179142,-0.164480993179142,-0.164480993179142,-0.00242031797878682,-0.00939279651829308,-0.149733954715646,-0.149733954715646,0.00394368450276495,-0.183944166387799,-0.183944166387799,0.0340350327269426,0.0340350327269426,-0.185683893516588,-0.0367444981100594,0.671666176003305,-0.0378403391918991,0.671666176003305,-0.184016694244665,0.444741815627471,-0.273554517016632,0.0795862185953863,-0.209234355502445,0.0795862185953863,-0.123202140721964,0.155560619616276,0.155560619616276,-0.110172584071586,0.0010538460993143,0.22025259989792,0.22025259989792,0.272609304216551,0.00648432319589283,-0.0838862316801732,-0.0838862316801732,-0.0236953917524365
"c__Lentisphaeria",0.00468956702499546,0.021745029724268,0.021745029724268,0.584438760387604,0.048828142255653,-0.0773946826726354,-0.110214906775147,1,1,1,0.0142891312478043,0.0872517595418834,0.0872517595418834,0.0872517595418834,-0.0257754937134346,0.0282135384905092,0.355997683790974,0.355997683790974,-0.172610392263927,0.00396546057129763,0.00396546057129763,-0.122678953472124,-0.122678953472124,-0.134561226070363,-0.116863408069743,-0.190519101786699,-0.105701155297708,-0.190519101786699,0.219516658160212,-0.127628049762511,0.0703774181190376,0.25153010669636,-0.264096555323601,0.25153010669636,-0.0991568310894789,-0.147825333359554,-0.147825333359554,0.0023750959149897,-0.0535254214288743,-0.136879036656603,-0.136879036656603,-0.0471753870186669,-0.116863408069743,-0.079570296967457,-0.079570296967457,-0.183021032997468
"o__Victivallales",0.00468956702499546,0.021745029724268,0.021745029724268,0.584438760387604,0.048828142255653,-0.0773946826726354,-0.110214906775147,1,1,1,0.0142891312478043,0.0872517595418834,0.0872517595418834,0.0872517595418834,-0.0257754937134346,0.0282135384905092,0.355997683790974,0.355997683790974,-0.172610392263927,0.00396546057129763,0.00396546057129763,-0.122678953472124,-0.122678953472124,-0.134561226070363,-0.116863408069743,-0.190519101786699,-0.105701155297708,-0.190519101786699,0.219516658160212,-0.127628049762511,0.0703774181190376,0.25153010669636,-0.264096555323601,0.25153010669636,-0.0991568310894789,-0.147825333359554,-0.147825333359554,0.0023750959149897,-0.0535254214288743,-0.136879036656603,-0.136879036656603,-0.0471753870186669,-0.116863408069743,-0.079570296967457,-0.079570296967457,-0.183021032997468
"p__Lentisphaerae",0.00468956702499546,0.021745029724268,0.021745029724268,0.584438760387604,0.048828142255653,-0.0773946826726354,-0.110214906775147,1,1,1,0.0142891312478043,0.0872517595418834,0.0872517595418834,0.0872517595418834,-0.0257754937134346,0.0282135384905092,0.355997683790974,0.355997683790974,-0.172610392263927,0.00396546057129763,0.00396546057129763,-0.122678953472124,-0.122678953472124,-0.134561226070363,-0.116863408069743,-0.190519101786699,-0.105701155297708,-0.190519101786699,0.219516658160212,-0.127628049762511,0.0703774181190376,0.25153010669636,-0.264096555323601,0.25153010669636,-0.0991568310894789,-0.147825333359554,-0.147825333359554,0.0023750959149897,-0.0535254214288743,-0.136879036656603,-0.136879036656603,-0.0471753870186669,-0.116863408069743,-0.079570296967457,-0.079570296967457,-0.183021032997468
