"","ADres"
"s__distasonis",-0.212048617636957
"s__hathewayi",-0.208374019731507
"s__citroniae",-0.194959586583435
"s__adolescentis",-0.194943609388287
"s__ramosum",-0.193821617991482
"g__Paraprevotella",-0.193475213483939
"s__fragilis",-0.193428595225005
"s__symbiosum",-0.193402033901498
"o__Alteromonadales",-0.193210645280568
"f__Paraprevotellaceae",-0.1931740467896
"g__Staphylococcus",-0.192038759983206
"g__Blautia",-0.189348106448204
"s__stutzeri",-0.185571828113318
"f__Microbacteriaceae",-0.182360738968116
"g__Parvimonas",-0.136729250471324
"s__Parvimonas sp",-0.136729250471323
"g__Shewanella",-0.136728456726114
"f__Shewanellaceae",-0.136728456726114
"s__Desulfovibrionaceae sp",-0.135712820178092
"g__Desulfovibrionaceae unidentified",-0.135712820178092
"s__mucilaginosa",-0.135558810420497
"g__Rothia",-0.135558810420497
"g__Erysipelotrichaceae cc_115",-0.114120407721642
"s__Erysipelotrichaceae cc_115 sp",-0.114120407721642
"c__Lentisphaeria",-0.111645678037991
"o__Victivallales",-0.111645678037991
"p__Lentisphaerae",-0.111645678037991
"c__Coriobacteriia",-0.109958563622457
"o__Coriobacteriales",-0.109958563622457
"f__Coriobacteriaceae",-0.109958563622457
"g__Actinomyces",-0.10579368647186
"s__Actinomyces",-0.10579368647186
"s__Sphingomonas sp",-0.0876530504348899
"s__Roseburia sp",-0.0876530504348899
"f__Brevibacteriaceae",0.0825909735975427
"s__Brevibacterium sp",0.0825909735975427
"g__Streptococcus",0.0918514060433644
"c__Gammaproteobacteria",0.110898894344253
"f__Enterobacteriaceae",0.112039267689697
"o__Enterobacteriales",0.112039267689697
"c__Bacilli",0.123802676045944
"f__Myxococcales 0319-6G20",0.12786887688213
"g__Tepidimonas",0.136727912405013
"s__Tepidimonas sp",0.136727912405013
"s__Myxococcales sp",0.144992435431073
"f__Prevotellaceae",5.0035297189426
