"","f__Prevotellaceae","f__Paraprevotellaceae","g__Paraprevotella","g__Blautia","s__symbiosum","s__ramosum","f__Microbacteriaceae","s__hathewayi","g__Staphylococcus","s__adolescentis","s__citroniae","s__distasonis","s__stutzeri","o__Alteromonadales","s__fragilis","c__Gammaproteobacteria~f__Enterobacteriaceae~o__Enterobacteriales","f__Myxococcales 0319-6G20~s__Myxococcales sp","c__Lentisphaeria~o__Victivallales~p__Lentisphaerae","g__Streptococcus~f__Brevibacteriaceae~s__Brevibacterium sp~c__Bacilli","c__Coriobacteriia~o__Coriobacteriales~f__Coriobacteriaceae","g__Erysipelotrichaceae cc_115~s__Erysipelotrichaceae cc_115 sp","s__Desulfovibrionaceae sp~g__Desulfovibrionaceae unidentified","s__Sphingomonas sp~g__Actinomyces~s__Actinomyces~s__Roseburia sp","s__Tepidimonas sp~g__Tepidimonas","g__Rothia~s__mucilaginosa","g__Shewanella~f__Shewanellaceae","s__Parvimonas sp~g__Parvimonas"
"1",22,29,99,106,127,162,183,197,210,211,225,239,260,267,316,-24.2897050975093,-64.5303973528837,98.726896031426,-351.13776481424,147.224318643355,164.755880016466,194.454364826301,483.20863250341,-267.286363288515,318.198051533946,392.444263558534,432.042243304981
"2",24,29,99,106,127,162,186,197,204,211,225,239,260,268,316,-24.2897050975093,-58.884649384192,98.726896031426,-348.102395412985,147.224318643355,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"3",22,29,105,106,127,163,183,197,205,211,228,239,260,267,322,-13.8975206911545,-57.4732123920191,98.726896031426,-348.102395412985,147.224318643355,164.755880016466,194.454364826301,482.119634430178,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"4",22,29,99,106,127,162,183,200,207,213,231,239,260,267,316,-13.8975206911545,-56.0617753998461,98.726896031426,-349.217421899324,147.224318643355,164.755880016466,194.454364826301,484.297630576643,-261.629509039023,318.198051533946,392.444263558534,440.527524679219
"5",22,29,99,109,127,164,185,200,205,212,228,239,260,267,321,-13.8975206911545,-56.0617753998461,98.726896031426,-347.462281108013,147.224318643355,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"6",28,30,99,106,127,162,184,197,206,211,225,239,261,269,316,-19.0936128943319,-56.0617753998461,109.119200876839,-349.217421899324,147.224318643355,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,325.269119345812,392.444263558534,432.042243304981
"7",22,29,99,106,133,162,183,201,204,211,228,239,260,267,316,-13.8975206911545,-56.0617753998461,98.726896031426,-347.462281108013,147.224318643355,166.170093578839,194.454364826301,481.030636356946,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"8",22,29,99,111,132,162,183,198,204,213,226,239,260,267,316,-13.8975206911545,-57.4732123920191,98.726896031426,-347.462281108013,150.688420258492,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"9",22,35,99,108,127,162,183,197,204,212,226,239,260,267,316,-13.8975206911545,-56.0617753998461,98.726896031426,-347.462281108013,147.224318643355,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"10",22,29,99,107,127,168,183,197,204,211,226,239,260,267,316,-13.8975206911545,-56.0617753998461,98.726896031426,-347.462281108013,148.956369450923,164.755880016466,195.868578388674,481.481769152389,-258.801081914276,319.612265096319,392.444263558534,432.042243304981
"11",25,29,99,107,127,166,183,197,204,212,226,240,260,267,316,-13.8975206911545,-56.0617753998461,100.458946838995,-347.462281108013,147.224318643355,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,321.026478658693,392.444263558534,432.042243304981
"12",22,29,99,106,127,162,185,197,204,211,231,245,260,267,316,-13.8975206911545,-56.0617753998461,98.726896031426,-347.462281108013,147.224318643355,164.755880016466,194.454364826301,481.030636356946,-261.629509039023,318.198051533946,392.444263558534,432.042243304981
"13",26,29,100,107,127,162,183,203,204,216,225,239,260,267,316,-13.8975206911545,-56.0617753998461,107.38715006927,-348.577307594353,150.688420258492,164.755880016466,194.454364826301,482.119634430178,-258.801081914276,319.612265096319,392.444263558534,432.042243304981
"14",26,29,99,108,127,162,183,197,204,211,225,240,260,267,316,-15.629551425547,-56.0617753998461,98.726896031426,-347.462281108013,148.956369450923,164.755880016466,195.868578388674,481.030636356946,-258.801081914276,318.198051533946,392.444263558534,432.042243304981
"15",23,29,100,107,127,162,183,197,205,212,225,239,260,267,316,-15.629551425547,-56.0617753998461,98.726896031426,-348.577307594353,147.224318643355,164.755880016466,195.868578388674,482.119634430178,-258.801081914276,319.612265096319,392.444263558534,432.042243304981
"16",22,29,99,109,128,162,183,197,204,213,226,239,260,273,317,-13.8975206911545,-56.0617753998461,98.726896031426,-347.462281108013,148.956369450923,164.755880016466,194.454364826301,481.030636356946,-258.801081914276,319.612265096319,392.444263558534,432.042243304981
