"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Paraprevotella.1","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum.","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum.","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi.","g__Staphylococcus","s__adolescentis.","g__Rothia","s__citroniae.","s__mucilaginosa.","s__distasonis.","g__Actinomyces","s__Actinomyces","s__stutzeri.","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis."
"1",7,14,21,22,29,42,49,50,57,64,72,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,189,190,203,204,217,218,225,232,239,246,255,262,267,274,281,288,300,302,309,316,323
"2",7,14,21,24,29,38,45,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,193,197,204,211,218,225,232,239,246,253,260,267,275,281,288,296,302,309,316,323
"3",1,8,15,22,29,37,44,50,57,64,71,78,85,92,105,112,113,120,127,134,141,148,155,162,170,176,183,190,197,204,212,218,225,235,239,246,254,261,267,274,281,288,296,302,309,316,329
"4",1,8,15,22,29,36,43,50,57,64,72,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,185,190,199,207,214,220,225,238,239,246,256,263,267,274,281,288,297,302,315,322,323
"5",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,116,120,127,134,141,148,155,162,171,176,183,192,197,207,212,219,225,235,239,246,253,260,267,274,281,288,295,302,309,316,328
"6",4,11,18,28,30,36,43,56,63,70,72,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183,191,197,204,213,218,230,232,244,246,253,260,268,276,281,288,297,302,309,316,323
"7",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,121,128,140,141,148,155,162,169,176,183,190,197,208,211,218,225,235,239,246,253,260,267,274,281,288,295,302,309,316,323
"8",1,8,15,22,29,37,44,50,57,64,71,80,87,94,99,106,118,120,127,139,141,148,155,162,169,176,183,190,197,205,211,220,225,233,239,246,253,260,267,274,281,288,295,302,309,316,323
"9",1,8,15,22,35,36,43,50,57,64,71,78,85,92,99,106,115,120,127,134,141,148,155,162,169,176,183,190,197,204,211,219,225,233,239,246,253,260,267,274,281,288,295,302,309,316,323
"10",1,8,15,22,29,36,43,50,57,64,71,79,86,93,99,106,114,120,127,134,142,149,155,162,175,177,183,190,197,204,211,218,226,233,240,246,253,260,267,274,281,288,295,302,309,316,323
"11",1,8,15,25,29,36,43,51,58,65,71,78,85,92,99,106,114,120,127,134,141,148,155,162,173,176,183,190,197,204,211,219,227,233,241,247,253,260,267,274,281,288,295,302,309,316,323
"12",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,185,192,199,204,211,218,225,238,239,252,253,260,267,274,281,288,295,302,309,316,323
"13",1,8,15,26,29,36,43,55,62,69,72,80,87,94,100,107,114,120,127,134,141,148,155,162,169,176,183,190,197,210,211,223,226,232,240,246,254,261,267,274,281,288,296,302,309,316,323
"14",2,9,16,26,29,36,43,50,57,64,71,79,86,93,99,106,115,120,127,134,142,149,155,162,169,176,183,190,197,204,211,218,225,232,239,247,253,260,267,274,281,288,295,302,309,316,323
"15",2,9,16,23,29,36,43,50,57,64,72,78,85,92,100,107,114,120,127,134,142,149,155,162,169,176,183,190,197,204,212,219,226,232,240,246,254,261,267,274,281,288,296,302,309,316,323
"16",1,8,15,22,29,36,43,50,57,64,71,79,86,93,99,106,116,120,127,135,141,148,155,162,169,176,183,190,197,204,211,220,226,233,240,246,253,260,267,280,281,288,295,302,309,316,324
"17",1,8,15,22,29,36,43,50,57,64,73,78,85,92,99,106,114,120,127,136,141,148,155,162,170,176,184,196,198,204,214,218,230,232,244,246,254,261,268,279,287,294,298,302,309,316,324
"18",2,8,15,22,29,36,43,50,57,64,72,78,85,92,99,106,115,120,127,134,141,148,157,164,170,182,185,191,199,204,213,222,225,233,239,246,259,266,267,276,281,288,297,308,309,316,323
"19",1,8,15,22,29,36,43,50,57,64,72,78,85,92,99,106,114,120,127,134,141,148,155,162,170,176,183,190,197,204,211,219,225,232,239,246,253,260,267,274,281,288,296,302,309,316,324
"20",1,8,15,22,29,36,43,50,57,64,71,78,85,92,99,106,114,120,127,135,141,148,155,162,171,176,184,190,198,205,211,219,226,232,240,246,253,260,267,275,284,291,295,302,309,316,324
"21",5,12,19,22,29,36,47,50,57,64,72,78,85,92,99,106,113,120,127,135,141,148,157,164,169,177,187,191,201,204,215,218,231,232,245,246,255,262,267,277,287,294,297,303,309,316,324
"22",2,9,16,22,29,36,43,50,57,64,73,78,85,92,99,106,114,120,127,134,141,148,155,162,169,176,183,190,197,204,211,224,226,233,240,246,254,261,267,274,281,288,301,302,309,316,323
"23",1,8,15,22,29,36,43,50,57,64,72,78,85,92,99,106,114,120,127,134,141,148,155,162,169,177,184,190,198,205,214,224,229,237,243,247,255,262,273,276,281,288,297,303,309,316,325
"24",1,8,15,22,29,38,45,50,57,64,73,78,85,92,101,108,119,120,127,135,141,148,155,162,169,176,183,190,197,204,211,218,225,233,239,246,253,260,267,274,281,288,296,303,309,316,323
"25",2,8,15,23,29,36,43,50,57,64,77,84,91,98,99,106,113,120,127,134,141,148,161,168,169,176,183,190,197,204,217,218,225,232,239,246,253,260,267,274,281,288,301,302,309,316,323
"26",1,8,15,26,30,39,46,52,59,66,71,78,85,92,99,106,116,120,127,134,141,148,155,162,169,176,183,190,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323
"27",1,8,15,25,34,36,43,51,58,65,71,78,85,92,100,107,113,120,127,134,145,152,155,162,169,176,185,190,199,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323
"28",1,8,15,22,29,36,43,56,63,70,72,79,86,93,99,106,116,125,132,134,142,149,155,162,169,176,183,190,197,204,211,219,226,232,240,246,253,260,267,274,281,288,296,302,309,316,323
"29",1,8,15,23,29,36,43,51,58,65,71,79,86,93,103,110,116,126,133,134,143,150,155,162,169,176,183,191,197,204,211,218,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323
"30",1,8,15,23,29,36,43,50,57,64,71,79,86,93,100,107,114,122,129,134,147,154,155,162,169,176,183,192,197,204,211,219,225,232,239,246,253,260,267,274,281,288,295,302,309,316,323
