"","Node","Microbe Names","Node Size","Cluster_Parameters"
"1","1","Bacteroides","11","0.445485632894513"
"2","2","Blautia","3","0.0527728781186809"
"3","3","Coprococcus","2","1.03622536771984"
"4","4","Ruminococcus","4","0.109999296118843"
"5","5","Fusobacterium","9","0.869594681850179"
"6","6","Gemella","6","0.715605770911"
"7","7","Roseburi","2","0.911024508160746"
"8","8","Eikenell","1","0.427910757334"
"9","9","Ruminococcaceae","2","0.743711215355297"
"10","10","Lachnospiraceae","1","0.786438255620114"
"11","11","Odoribacter","2","1.0080791072296"
"12","12","Bilophila","1","0.980993161494254"
"13","13","Prevotella","7","0.852548603573138"
"14","14","Porphyromonas","5","2.29056058258565"
"15","15","Alistipes","2","0.0554778897350772"
"16","16","Prevotell","7","1.32408348342914"
"17","17","Parvimonas","6","1.25304060878843"
"18","18","Peptostreptococcus","6","2.5149502276205"
"19","19","Dialister","2","0.690692861172842"
"20","20","Dore","1","0.727097013411805"
