"","Correlation features","Correlation Value"
"1","Otu000153 ~~ Otu000153","1"
"2","Otu000813 ~~ Otu000153","0.693567178031001"
"3","Otu000460 ~~ Otu000153","0.678710329819274"
"4","Otu001568 ~~ Otu000153","0.509100631053425"
"5","Otu000226.Otu000645.Otu001204 ~~ Otu000153","0.622713493788534"
"6","Otu000653 ~~ Otu000653","1"
"7","Otu000952 ~~ Otu000653","0.616691711854874"
"8","Otu000153 ~~ Otu000813","0.693567178031001"
"9","Otu000813 ~~ Otu000813","1"
"10","Otu000460 ~~ Otu000813","0.734782095150513"
"11","Otu001568 ~~ Otu000813","0.563663757866087"
"12","Otu000226.Otu000645.Otu001204 ~~ Otu000813","0.541566511541025"
"13","Otu000153 ~~ Otu000460","0.678710329819274"
"14","Otu000813 ~~ Otu000460","0.734782095150513"
"15","Otu000460 ~~ Otu000460","1"
"16","Otu000620 ~~ Otu000460","0.609051351561712"
"17","Otu001568 ~~ Otu000460","0.718257016307879"
"18","Otu001004 ~~ Otu000460","0.550624814708705"
"19","Otu000226.Otu000645.Otu001204 ~~ Otu000460","0.664094663091286"
"20","Otu000460 ~~ Otu000620","0.609051351561712"
"21","Otu000620 ~~ Otu000620","1"
"22","Otu001568 ~~ Otu000620","0.861806479032577"
"23","Otu001004 ~~ Otu000620","0.628123264421041"
"24","Otu000397 ~~ Otu000397","1"
"25","Otu000115 ~~ Otu000115","1"
"26","Otu000400 ~~ Otu000400","1"
"27","Otu001119 ~~ Otu001119","1"
"28","Otu000359 ~~ Otu000359","1"
"29","Otu000821 ~~ Otu000359","0.69074677845637"
"30","Otu000315 ~~ Otu000315","1"
"31","Otu000485 ~~ Otu000485","1"
"32","Otu000169 ~~ Otu000169","1"
"33","Otu000334 ~~ Otu000334","1"
"34","Otu000186 ~~ Otu000186","1"
"35","Otu000121 ~~ Otu000121","1"
"36","Otu000153 ~~ Otu001568","0.509100631053425"
"37","Otu000813 ~~ Otu001568","0.563663757866087"
"38","Otu000460 ~~ Otu001568","0.718257016307879"
"39","Otu000620 ~~ Otu001568","0.861806479032577"
"40","Otu001568 ~~ Otu001568","1"
"41","Otu001004 ~~ Otu001568","0.628651857400936"
"42","Otu000211 ~~ Otu000211","1"
"43","Otu000413 ~~ Otu000413","1"
"44","Otu000374 ~~ Otu000374","1"
"45","Otu000124 ~~ Otu000124","1"
"46","Otu000393 ~~ Otu000393","1"
"47","Otu000358 ~~ Otu000358","1"
"48","Otu000013 ~~ Otu000013","1"
"49","Otu001109 ~~ Otu001109","1"
"50","Otu000853 ~~ Otu001109","0.690627423725174"
"51","Otu000284 ~~ Otu000284","1"
"52","Otu000095 ~~ Otu000095","1"
"53","Otu000060 ~~ Otu000060","1"
"54","Otu000108 ~~ Otu000108","1"
"55","Otu000306 ~~ Otu000306","1"
"56","Otu000375 ~~ Otu000375","1"
"57","Otu000079 ~~ Otu000079","1"
"58","Otu000046 ~~ Otu000046","1"
"59","Otu000713 ~~ Otu000713","1"
"60","Otu000038 ~~ Otu000038","1"
"61","Otu000294 ~~ Otu000294","1"
"62","Otu000684 ~~ Otu000684","1"
"63","Otu000952 ~~ Otu000684","0.568966980962892"
"64","Otu000084 ~~ Otu000084","1"
"65","Otu001914 ~~ Otu001914","1"
"66","Otu000226.Otu000645.Otu001204 ~~ Otu001914","0.6933777270917"
"67","Otu000331 ~~ Otu000331","1"
"68","Otu001212 ~~ Otu001212","1"
"69","Otu000042 ~~ Otu000042","1"
"70","Otu000454 ~~ Otu000454","1"
"71","Otu000283 ~~ Otu000283","1"
"72","Otu001205 ~~ Otu001205","1"
"73","Otu000117 ~~ Otu000117","1"
"74","Otu000984 ~~ Otu000984","1"
"75","Otu000165 ~~ Otu000165","1"
"76","Otu000183 ~~ Otu000183","1"
"77","Otu000012 ~~ Otu000012","1"
"78","Otu000242 ~~ Otu000242","1"
"79","Otu001485 ~~ Otu001485","1"
"80","Otu000507 ~~ Otu000507","1"
"81","Otu000394 ~~ Otu000394","1"
"82","Otu000391 ~~ Otu000391","1"
"83","Otu000639 ~~ Otu000639","1"
"84","Otu000035 ~~ Otu000035","1"
"85","Otu000201 ~~ Otu000201","1"
"86","Otu000378 ~~ Otu000378","1"
"87","Otu000402 ~~ Otu000402","1"
"88","Otu001169 ~~ Otu001169","1"
"89","Otu001023 ~~ Otu001023","1"
"90","Otu001162 ~~ Otu001162","1"
"91","Otu000460 ~~ Otu001004","0.550624814708705"
"92","Otu000620 ~~ Otu001004","0.628123264421041"
"93","Otu001568 ~~ Otu001004","0.628651857400936"
"94","Otu001004 ~~ Otu001004","1"
"95","Otu000071 ~~ Otu000071","1"
"96","Otu000717 ~~ Otu000717","1"
"97","Otu000589 ~~ Otu000589","1"
"98","Otu000800 ~~ Otu000800","1"
"99","Otu000103 ~~ Otu000103","1"
"100","Otu001098 ~~ Otu001098","1"
"101","Otu000588 ~~ Otu000588","1"
"102","Otu000288 ~~ Otu000288","1"
"103","Otu001209 ~~ Otu001209","1"
"104","Otu000846 ~~ Otu000846","1"
"105","Otu000099 ~~ Otu000099","1"
"106","Otu001438 ~~ Otu001438","1"
"107","Otu001109 ~~ Otu000853","0.690627423725174"
"108","Otu000853 ~~ Otu000853","1"
"109","Otu000785 ~~ Otu000785","1"
"110","Otu000349 ~~ Otu000349","1"
"111","Otu000640 ~~ Otu000640","1"
"112","Otu000100 ~~ Otu000100","1"
"113","Otu000175 ~~ Otu000175","1"
"114","Otu000185 ~~ Otu000185","1"
"115","Otu005596 ~~ Otu005596","1"
"116","Otu000790 ~~ Otu000790","1"
"117","Otu000252 ~~ Otu000252","1"
"118","Otu001350 ~~ Otu001350","1"
"119","Otu000385 ~~ Otu000385","1"
"120","Otu000407 ~~ Otu000407","1"
"121","Otu002730 ~~ Otu002730","1"
"122","Otu000303 ~~ Otu000303","1"
"123","Otu000359 ~~ Otu000821","0.69074677845637"
"124","Otu000821 ~~ Otu000821","1"
"125","Otu000632 ~~ Otu000632","1"
"126","Otu000039 ~~ Otu000039","1"
"127","Otu000150 ~~ Otu000150","1"
"128","Otu000179 ~~ Otu000179","1"
"129","Otu000653 ~~ Otu000952","0.616691711854874"
"130","Otu000684 ~~ Otu000952","0.568966980962892"
"131","Otu000952 ~~ Otu000952","1"
"132","Otu000153 ~~ Otu000226.Otu000645.Otu001204","0.622713493788534"
"133","Otu000813 ~~ Otu000226.Otu000645.Otu001204","0.541566511541025"
"134","Otu000460 ~~ Otu000226.Otu000645.Otu001204","0.664094663091286"
"135","Otu001914 ~~ Otu000226.Otu000645.Otu001204","0.6933777270917"
"136","Otu000226.Otu000645.Otu001204 ~~ Otu000226.Otu000645.Otu001204","1"
