"","V1","V2","V3","V4","V5"
"mat_entry","Otu00001","Otu00057","-0.0267049183805084","-0.0474671962226711","0.0207622778421627"
"mat_entry.1","Otu00001","Otu00023","-0.0209508238343475","-0.0558830255075924","0.0349322016732449"
"mat_entry.2","Otu00001","Otu00002","0.6175562628633","0.592352749131779","0.0252035137315207"
"mat_entry.3","Otu00001","Otu00046","0.259871392116774","0.214403552409127","0.0454678397076469"
"mat_entry.4","Otu00001","Otu00003","-0.134462954373993","-0.0796024592438114","0.0548604951301818"
"mat_entry.5","Otu00001","Otu00213","-0.0353128272364017","-0.0367948792722963","0.00148205203589465"
"mat_entry.6","Otu00001","Otu00015","0.540257301399717","0.466463395751582","0.0737939056481358"
"mat_entry.7","Otu00001","Otu00007","0.222834309579032","0.290178871733075","0.0673445621540431"
"mat_entry.8","Otu00001","Otu00049","-0.130118924134909","-0.0760493169287872","0.0540696072061218"
"mat_entry.9","Otu00001","Otu00083","0.275037124031905","0.219267358640985","0.0557697653909199"
"mat_entry.10","Otu00001","Otu00203","0.252697593522293","0.162092850042204","0.0906047434800897"
"mat_entry.11","Otu00001","Otu00207","0.00215215214978015","-0.0347675074818941","0.0369196596316743"
"mat_entry.12","Otu00001","Otu00018","-0.00635354527836448","-0.0132184367253237","0.00686489144695919"
"mat_entry.13","Otu00001","Otu00028","-0.066058533825188","-0.0361730174450332","0.0298855163801549"
"mat_entry.14","Otu00001","Otu00013","-0.0680140694850324","-0.0731690685799532","0.00515499909492083"
"mat_entry.15","Otu00001","Otu00300","-0.0252634719506766","-0.00440398358513812","0.0208594883655384"
"mat_entry.16","Otu00001","Otu00033","0.097081150295804","0.076122090140979","0.020959060154825"
"mat_entry.17","Otu00001","Otu00171","-0.0417013085285231","-0.0431888300763142","0.00148752154779114"
"mat_entry.18","Otu00001","Otu00073","0.284648961936947","0.24685149738315","0.0377974645537962"
"mat_entry.19","Otu00001","Otu00108","-0.056936028874315","-0.0464525274462943","0.0104835014280207"
"mat_entry.20","Otu00001","Otu00075","0.0145537145527174","-0.0282460536093687","0.042799768162086"
"mat_entry.21","Otu00001","Otu00014","-0.0717008645428629","-0.0454324443349175","0.0262684202079454"
"mat_entry.22","Otu00001","Otu00101","0.297919624823093","0.232817026955463","0.0651025978676303"
"mat_entry.23","Otu00001","Otu00005","-0.0576037052656284","-0.0430558770482952","0.0145478282173332"
"mat_entry.24","Otu00001","Otu00027","-0.0515539553671952","-0.0468089088077595","0.00474504655943577"
"mat_entry.25","Otu00001","Otu00154","0.326960970313911","0.276296475741708","0.0506644945722033"
"mat_entry.26","Otu00001","Otu00077","-0.0258191852905637","-0.0530709204078347","0.027251735117271"
"mat_entry.27","Otu00001","Otu00036","0.0185015933370432","-0.028077822812112","0.0465794161491553"
"mat_entry.28","Otu00001","Otu00035","0.625790145769539","0.630893493334769","0.00510334756523079"
"mat_entry.29","Otu00001","Otu00006","0.0269559397880802","-0.0442940314024684","0.0712499711905486"
"mat_entry.30","Otu00001","Otu00050","-0.0621736565681777","-0.0410782289724689","0.0210954275957088"
"mat_entry.31","Otu00001","Otu00559","-0.0212471905005744","-0.0219164163586268","0.000669225858052343"
"mat_entry.32","Otu00001","Otu00056","0.20148268499978","0.136173049487463","0.0653096355123169"
"mat_entry.33","Otu00001","Otu00022","-0.0943929947545349","-0.070392319485879","0.0240006752686559"
"mat_entry.34","Otu00001","Otu00009","-0.00024163474901737","-0.0437988174237426","0.0435571826747252"
"mat_entry.35","Otu00001","Otu00393","-0.0578398334285963","-0.0421440214916329","0.0156958119369635"
"mat_entry.36","Otu00001","Otu00024","-0.0214476515397672","-0.0197968364136822","0.00165081512608497"
"mat_entry.37","Otu00001","Otu00189","-0.029983400762111","-0.0238936287646758","0.00608977199743526"
"mat_entry.38","Otu00001","Otu00012","-0.0975887846770912","-0.0694926720424029","0.0280961126346883"
"mat_entry.39","Otu00001","Otu00011","-0.126594937372674","-0.0858479345754334","0.0407470027972404"
"mat_entry.40","Otu00001","Otu00162","-0.0538104747616472","-0.0366544630404463","0.0171560117212009"
"mat_entry.41","Otu00001","Otu00346","-0.0412135661154015","-0.0333671304997311","0.00784643561567037"
"mat_entry.42","Otu00001","Otu00090","-0.0969193033972524","-0.0615807576381128","0.0353385457591396"
"mat_entry.43","Otu00001","Otu00111","-0.124955493548116","-0.086775768525641","0.0381797250224749"
"mat_entry.44","Otu00001","Otu00048","-0.0505236241358484","-0.0480339268425336","0.00248969729331472"
"mat_entry.45","Otu00001","Otu00194","0.00720631137125472","-0.0329424842705155","0.0401487956417702"
"mat_entry.46","Otu00001","Otu00119","0.0164760615457034","-0.0364588730049329","0.0529349345506363"
"mat_entry.47","Otu00001","Otu00020","-0.0261704132130892","-0.0479401769747078","0.0217697637616186"
