"","OTU_network"
"Otu00001","Lactobacillus"
"Otu00002","Enterobacteriaceae"
"Otu00003","Alloprevotella"
"Otu00004","Prevotella"
"Otu00005","Bacteroides"
"Otu00006","Akkermansia"
"Otu00007","Betaproteobacteria"
"Otu00008","Porphyromonadaceae"
"Otu00009","Anaeroplasma"
"Otu00010","Porphyromonadaceae"
"Otu00011","Porphyromonadaceae"
"Otu00012","Porphyromonadaceae"
"Otu00013","Burkholderiales"
"Otu00014","Bacteroidales"
"Otu00015","Ureaplasma"
"Otu00018","Bacteroides"
"Otu00020","Helicobacter"
"Otu00022","Bifidobacterium"
"Otu00023","Enterococcus"
"Otu00024","Lactobacillus"
"Otu00027","Parabacteroides"
"Otu00028","Parabacteroides"
"Otu00029","Bacteroides"
"Otu00031","Bacteroidales"
"Otu00032","Porphyromonadaceae"
"Otu00033","unclassifie"
"Otu00034","Porphyromonadaceae"
"Otu00035","Lactobacillus"
"Otu00036","Helicobacter"
"Otu00037","Alistipes"
"Otu00038","Clostridium_sensu_stricto"
"Otu00039","Parabacteroides"
"Otu00040","Allobaculum"
"Otu00041","Odoribacter"
"Otu00043","Ruminococcus"
"Otu00044","Barnesiella"
"Otu00045","Bacteroidetes"
"Otu00046","Clostridium_XlV"
"Otu00047","Bacteroides"
"Otu00048","Mucispirillum"
"Otu00049","unclassifie"
"Otu00050","Turicibacter"
"Otu00053","Porphyromonadaceae"
"Otu00054","Porphyromonadaceae"
"Otu00056","Clostridium_XVIII"
"Otu00057","Paenibacillus"
"Otu00058","Porphyromonadaceae"
"Otu00059","Porphyromonadaceae"
"Otu00061","unclassifie"
"Otu00067","unclassifie"
"Otu00068","Firmicutes"
"Otu00069","Barnesiell"
"Otu00073","Streptococcus"
"Otu00075","Lysinibacillu"
"Otu00077","Desulfovibrio"
"Otu00078","Clostridium_X"
"Otu00079","Alistipes"
"Otu00081","Barnesiella"
"Otu00083","Flavonifractor"
"Otu00085","unclassifie"
"Otu00088","Clostridium_sensu_stricto"
"Otu00090","Porphyromonadaceae"
"Otu00091","unclassifie"
"Otu00092","Barnesiella"
"Otu00096","Odoribacter"
"Otu00099","Clostridiales"
"Otu00101","Clostridium_XI"
"Otu00107","Porphyromonadaceae"
"Otu00108","Bacillu"
"Otu00110","Bacteria"
"Otu00111","Alistipes"
"Otu00119","Desulfovibrionaceae"
"Otu00120","Lachnospiraceae"
"Otu00122","Alistipes"
"Otu00126","Barnesiell"
"Otu00131","Ruminococcaceae"
"Otu00154","Anaerostipes"
"Otu00160","Ruminococcus2"
"Otu00162","Olsenella"
"Otu00171","Bacillales"
"Otu00178","Porphyromonadaceae"
"Otu00184","Bacteria"
"Otu00189","Paenibacillu"
"Otu00194","Bacteria"
"Otu00203","Bordetell"
"Otu00207","Cellulomona"
"Otu00213","Paenibacillu"
"Otu00234","Porphyromonadaceae"
"Otu00264","Firmicutes"
"Otu00275","unclassifie"
"Otu00285","Clostridiales"
"Otu00300","Bacteria"
"Otu00324","Olsenella"
"Otu00346","unclassifie"
"Otu00393","Clostridiales"
"Otu00491","Clostridiales"
"Otu00512","Clostridium_XlV"
"Otu00514","Lachnospiraceae"
"Otu00559","Lachnospiraceae"
"Otu00607","Lachnospiraceae"
