"","x"
"1","0.03443"
"2","0.01018"
"3","0.00067"
"4","2.93960"
"5","6.50697"
"6","-0.26002"
"7","-0.01129"
"8","1.24543"
"9","0.00018"
"10","-0.00087"
"11","0.02371"
"12","2.99272"
"13","0.00009"
"14","1.24234"
"15","1.43816"
"16","0.06021"
"17","0.18450"
"18","-0.00534"
"19","0.16498"
"20","-1.18981"
"21","0.00061"
"22","0.12696"
"23","-2.92626"
"24","-0.00040"
"25","-3.25179"
"26","1.83140"
"27","0.21552"
"28","-0.01702"
"29","0.44313"
"30","0.02464"
"31","-0.02632"
"32","0.41815"
"33","-2.06136"
"34","-1.75002"
"35","0.14039"
"36","0.00217"
"37","-0.43429"
"38","-0.02446"
"39","-0.29733"
"40","0.07324"
"41","0.00425"
"42","1.36838"
"43","-0.02454"
"44","-1.55385"
"45","-0.17881"
"46","0.00074"
"47","0.10281"
"48","0.25494"
"49","-0.04147"
"50","-0.01503"
"51","0.02975"
"52","0.74345"
"53","0.00077"
"54","0.02716"
"55","-0.00030"
"56","0.07755"
"57","0.29425"
"58","-1.23473"
"59","-0.89512"
"60","0.81686"
"61","-0.05530"
"62","-0.76669"
"63","-0.67650"
"64","-1.85735"
"65","0.03952"
"66","-0.12067"
"67","1.72429"
"68","0.00075"
"69","-0.00168"
"70","-0.07757"
"71","-1.47178"
"72","0.00679"
"73","-1.25250"
"74","0.91043"
"75","-0.35596"
"76","1.61717"
"77","0.44758"
"78","-0.01285"
"79","0.15286"
"80","-0.49224"
"81","0.00279"
"82","-0.01077"
"83","-1.04240"
"84","0.00366"
"85","0.27996"
"86","-0.17984"
"87","-0.00643"
"88","-0.20060"
"89","0.00135"
"90","-0.00029"
"91","-0.30317"
"92","-0.09441"
"93","0.01825"
"94","-0.00040"
"95","0.18728"
"96","0.45141"
"97","0.10124"
"98","0.02643"
"99","1.55215"
