"","Node","Microbe Names","Node Size"
"1","1","Bacteroides","11"
"2","2","Lactobacillus","2"
"3","3","Bifidobacterium","4"
"4","4","Ruminococcus","4"
"5","5","Streptococcus","4"
"6","6","Enterobacteriaceae","1"
"7","7","Bacteroidales","1"
"8","8","Enterococcus","1"
"9","9","Firmicutes","2"
"10","10","Clostridiales","3"
"11","11","Prevotella","7"
"12","12","Burkholderiales","1"
"13","13","Parabacteroides","1"
"14","14","Alistipes","2"
"15","15","Odoribacter","2"
"16","16","Lachnospiraceae","1"
"17","17","Ruminococcaceae","2"
"18","18","Akkermansia","1"
"19","19","Bacteroidetes","1"
"20","20","Bacillales","1"
