"","x"
"1","c(""Otu00005"", ""Otu00018"", ""Otu00029"", ""Otu00047"")"
"2","c(""Otu00001"", ""Otu00024"", ""Otu00035"")"
"3","Otu00022"
"4","Otu00043"
"5","Otu00073"
"6","Otu00002"
"7","c(""Otu00014"", ""Otu00031"")"
"8","Otu00023"
"9","c(""Otu00068"", ""Otu00264"")"
"10","c(""Otu00099"", ""Otu00285"", ""Otu00393"", ""Otu00491"")"
"11","Otu00004"
"12","Otu00013"
"13","c(""Otu00027"", ""Otu00028"", ""Otu00039"")"
"14","c(""Otu00037"", ""Otu00079"", ""Otu00111"", ""Otu00122"")"
"15","c(""Otu00041"", ""Otu00096"")"
"16","c(""Otu00120"", ""Otu00514"", ""Otu00559"", ""Otu00607"")"
"17","Otu00131"
"18","Otu00006"
"19","Otu00045"
"20","Otu00171"
